side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2020-03-28T00:00:00+00:00,6357.838178,2020-03-28T20:00:00+00:00,6281.634948758402,TRAIL,0.13858876019517627,0.31599999999999995,9.247144380843586,11144.289174083407,11153.536318464252,20
SHORT,2020-03-29T20:00:00+00:00,5905.208722,2020-03-30T05:00:00+00:00,6106.745980206416,TRAIL,0.15392507101324382,0.31599999999999995,-32.40834251664572,11153.536318464252,11121.127975947606,9
LONG,2020-04-06T07:00:00+00:00,7080.405798,2020-04-07T20:00:00+00:00,7178.868695075509,TRAIL,0.5155591878489025,1.0,45.24982626677623,11121.127975947606,11166.377802214382,37
SHORT,2020-04-10T16:00:00+00:00,6765.406648,2020-04-12T14:00:00+00:00,6947.943743067814,TRAIL,0.17264084313243544,0.37,-33.28897127571618,11166.377802214382,11133.088830938665,46
LONG,2020-04-12T17:00:00+00:00,7144.048524,2020-04-12T22:00:00+00:00,6968.206221734989,TRAIL,0.643457285447009,1.0,-119.95748532986651,11133.088830938665,11013.131345608797,5
SHORT,2020-04-13T01:00:00+00:00,6717.506230000001,2020-04-13T21:00:00+00:00,6872.773753998604,TRAIL,0.11555949164522378,0.29799999999999993,-19.120500526991485,11013.131345608797,10994.010845081806,20
SHORT,2020-04-16T01:00:00+00:00,6571.725392,2020-04-16T07:00:00+00:00,6763.4465303365805,TRAIL,0.19423008538907152,0.33399999999999996,-39.18058175586901,10994.010845081806,10954.830263325937,6
LONG,2020-04-16T09:00:00+00:00,7046.70906,2020-04-19T05:00:00+00:00,7103.310872957882,TRAIL,0.3910741412140423,1.0,17.985225223579054,10954.830263325937,10972.815488549517,68
LONG,2020-04-23T14:00:00+00:00,7235.136737999999,2020-04-23T14:00:00+00:00,7267.370751478325,TRAIL,0.6389440175228467,1.0,13.64601227311493,10972.815488549517,10986.461500822632,0
LONG,2020-04-23T15:00:00+00:00,7538.777454,2020-04-26T15:00:00+00:00,7536.203708514997,TRAIL,0.4106543682442237,1.0,-5.699874975355039,10986.461500822632,10980.761625847277,70
LONG,2020-04-27T01:00:00+00:00,7743.208331999999,2020-04-30T09:00:00+00:00,8848.452267908368,TRAIL,0.623415445210431,1.0,681.2685172606904,10980.761625847277,11662.030143107968,80
LONG,2020-05-03T01:00:00+00:00,9126.244884,2020-05-03T12:00:00+00:00,8864.33990049267,TRAIL,0.45147966185985383,1.0,-124.33656074467243,11662.030143107968,11537.693582363296,11
LONG,2020-05-06T11:00:00+00:00,9229.355502,2020-05-06T23:00:00+00:00,9088.84840016947,TRAIL,0.42162724119368145,1.0,-65.03421204409722,11537.693582363296,11472.6593703192,12
LONG,2020-05-07T17:00:00+00:00,9632.936202,2020-05-09T06:00:00+00:00,9685.424074958295,TRAIL,0.3357078191575092,1.0,12.756595914337819,11472.6593703192,11485.415966233537,37
LONG,2020-05-13T22:00:00+00:00,9349.389504,2020-05-15T02:00:00+00:00,9462.051244206714,TRAIL,0.36923626693791034,1.0,36.38940076246178,11485.415966233537,11521.805366995999,28
LONG,2020-05-18T02:00:00+00:00,9904.600524000001,2020-05-18T08:00:00+00:00,9596.652807791785,TRAIL,0.3789475727281657,1.0,-122.23850404571537,11521.805366995999,11399.566862950283,6
LONG,2020-05-19T09:00:00+00:00,9806.030814,2020-05-20T15:00:00+00:00,9554.77768750971,TRAIL,0.3683504905760744,1.0,-97.8978848835812,11399.566862950283,11301.668978066702,30
SHORT,2020-05-26T16:00:00+00:00,8724.85468,2020-05-27T10:00:00+00:00,8972.470456283765,TRAIL,0.37135673311312484,0.802,-96.88280138359758,11301.668978066702,11204.786176683105,18
LONG,2020-05-27T11:00:00+00:00,9129.92562,2020-05-29T15:00:00+00:00,9331.159132869441,TRAIL,0.5064827349487613,1.0,94.90863443964571,11204.786176683105,11299.69481112275,52
LONG,2020-05-30T23:00:00+00:00,9730.9458,2020-05-31T09:00:00+00:00,9505.486678897803,TRAIL,0.5098867747385071,1.0,-122.31492597978249,11299.69481112275,11177.379885142967,10
LONG,2020-06-01T23:00:00+00:00,9741.948,2020-06-01T23:00:00+00:00,9884.52154953957,TRAIL,0.5863067735114416,1.0,74.96148879086022,11177.379885142967,11252.341373933828,0
LONG,2020-06-02T00:00:00+00:00,10204.750542,2020-06-02T14:00:00+00:00,9936.80403976103,TRAIL,0.35804563508958165,1.0,-101.34577234062276,11252.341373933828,11150.995601593206,14
LONG,2020-06-04T14:00:00+00:00,9764.232456,2020-06-05T11:00:00+00:00,9586.075851854055,TRAIL,0.43932596580086264,0.9279999999999999,-84.6446418446384,11150.995601593206,11066.350959748568,21
LONG,2020-06-07T20:00:00+00:00,9777.465102,2020-06-09T00:00:00+00:00,9610.866732845861,TRAIL,0.41984339422076455,0.9279999999999999,-76.05027206168266,11066.350959748568,10990.300687686886,28
SHORT,2020-06-11T17:00:00+00:00,9115.186598,2020-06-12T07:00:00+00:00,9418.055657022142,TRAIL,0.36736902296959784,1.0,-116.37111462545028,10990.300687686886,10873.929573061436,14
SHORT,2020-06-15T06:00:00+00:00,9039.101818,2020-06-15T15:00:00+00:00,9270.22836705645,TRAIL,0.3661856253560061,0.766,-89.66368004536051,10873.929573061436,10784.265893016076,9
