side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2019-12-29T20:00:00+00:00,7473.624426,2019-12-29T20:00:00+00:00,7359.902709867774,TRAIL,0.85674219551524,1.0,-106.96157421109787,9488.849483130038,9381.88790891894,0
SHORT,2019-12-31T18:00:00+00:00,7166.286456000001,2020-01-03T04:00:00+00:00,7021.050344532807,TRAIL,0.6112050003664579,0.784,82.26550916675265,9381.88790891894,9464.153418085692,58
LONG,2020-01-05T02:00:00+00:00,7461.401981999999,2020-01-05T22:00:00+00:00,7341.1468366506415,TRAIL,0.6221136915697979,1.0,-81.71902362121135,9464.153418085692,9382.43439446448,20
LONG,2020-01-06T03:00:00+00:00,7552.980294,2020-01-08T16:00:00+00:00,8083.499345774638,TRAIL,0.6218578504707943,1.0,322.6146864570899,9382.43439446448,9705.04908092157,61
LONG,2020-01-10T16:00:00+00:00,8069.1134999999995,2020-01-14T00:00:00+00:00,8106.099413807751,TRAIL,0.384494823828129,1.0,9.556428183876147,9705.04908092157,9714.605509105446,80
LONG,2020-01-14T01:00:00+00:00,8271.664002,2020-01-19T11:00:00+00:00,8954.651773425012,TRAIL,0.5339831938425763,0.892,357.80506920402496,9714.605509105446,10072.410578309471,130
LONG,2020-01-21T21:00:00+00:00,8721.723995999999,2020-01-22T16:00:00+00:00,8606.579655112926,TRAIL,0.5632080736289093,1.0,-72.16980280922878,10072.410578309471,10000.240775500242,19
LONG,2020-01-26T18:00:00+00:00,8580.565770000001,2020-01-28T17:00:00+00:00,8901.83243915259,TRAIL,0.652629909118974,1.0,201.11108512619344,10000.240775500242,10201.351860626435,47
LONG,2020-01-29T00:00:00+00:00,9377.215068,2020-01-31T06:00:00+00:00,9321.180881653567,TRAIL,0.3084581557928097,0.9279999999999999,-21.6099563299567,10201.351860626435,10179.74190429648,54
LONG,2020-02-03T02:00:00+00:00,9512.662152,2020-02-03T15:00:00+00:00,9293.70328976763,TRAIL,0.39640887281811393,0.838,-92.38849336600295,10179.74190429648,10087.353410930476,13
LONG,2020-02-05T17:00:00+00:00,9564.9126,2020-02-10T04:00:00+00:00,10028.914710174651,TRAIL,0.5158049252152295,0.946,231.7546292655412,10087.353410930476,10319.108040196017,106
LONG,2020-02-11T16:00:00+00:00,10167.033,2020-02-13T08:00:00+00:00,10255.32761011117,TRAIL,0.40414250286503267,0.964,29.493446771283597,10319.108040196017,10348.6014869673,40
LONG,2020-02-18T16:00:00+00:00,9832.656138,2020-02-19T21:00:00+00:00,9945.754804239848,TRAIL,0.3659183417674014,0.946,35.95691390550605,10348.6014869673,10384.558400872806,24
LONG,2020-02-23T05:00:00+00:00,9850.449696,2020-02-24T02:00:00+00:00,9776.869695318992,TRAIL,0.6657182079708552,1.0,-58.78324411520015,10384.558400872806,10325.775156757605,21
SHORT,2020-02-25T17:00:00+00:00,9306.978232,2020-03-01T12:00:00+00:00,8744.659718699695,TRAIL,0.35165635923870314,0.892,192.9819011596766,10325.775156757605,10518.757057917283,115
SHORT,2020-03-07T17:00:00+00:00,9037.052228,2020-03-10T11:00:00+00:00,8100.006282015283,TRAIL,0.5651930380597352,0.784,522.3475353906485,10518.757057917283,11041.104593307931,66
SHORT,2020-03-12T07:00:00+00:00,7492.671166,2020-03-12T10:00:00+00:00,6725.686206696572,TRAIL,0.1137713916915061,0.352,86.04771449700999,11041.104593307931,11127.152307804941,3
SHORT,2020-03-12T11:00:00+00:00,6013.69702,2020-03-13T03:00:00+00:00,5282.583616523308,TRAIL,0.05520904125803131,0.352,39.89632743905129,11127.152307804941,11167.048635243993,16
SHORT,2020-03-16T08:00:00+00:00,4789.032002,2020-03-16T14:00:00+00:00,5019.784689340515,TRAIL,0.054325862757278444,0.262,-12.935493145372797,11167.048635243993,11154.11314209862,6
SHORT,2020-03-20T21:00:00+00:00,5968.895982,2020-03-23T12:00:00+00:00,6168.348440671733,TRAIL,0.047104838295155084,0.262,-9.823968015212149,11154.11314209862,11144.289174083407,63
