side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2020-06-25T04:00:00+00:00,9098.309974,2020-06-25T08:00:00+00:00,9326.294550780733,TRAIL,0.42820391743172426,0.874,-103.54100476750456,10989.244298219157,10885.703293451652,4
SHORT,2020-06-27T20:00:00+00:00,8935.66251,2020-06-28T14:00:00+00:00,9143.196450136284,TRAIL,0.4665648174051249,0.874,-103.15425453227297,10885.703293451652,10782.549038919378,15
SHORT,2020-07-02T16:00:00+00:00,9047.110216000001,2020-07-04T17:00:00+00:00,9138.37977028148,TRAIL,0.6374977752711739,0.856,-66.8790448607881,10782.549038919378,10715.66999405859,49
SHORT,2020-07-05T10:00:00+00:00,9017.776084000001,2020-07-05T22:00:00+00:00,9110.081490763165,TRAIL,0.7979118958481564,0.784,-84.49990701128972,10715.66999405859,10631.1700870473,12
LONG,2020-07-06T13:00:00+00:00,9272.294088,2020-07-07T20:00:00+00:00,9206.808186700951,TRAIL,0.7884016741784833,1.0,-62.5559105972745,10631.1700870473,10568.614176450024,31
LONG,2020-07-22T23:00:00+00:00,9501.9,2020-07-24T06:00:00+00:00,9477.953919406124,TRAIL,0.873607136070778,1.0,-33.355168756916726,10568.614176450024,10535.259007693108,31
LONG,2020-07-25T18:00:00+00:00,9690.427698,2020-07-26T12:00:00+00:00,9811.283569704816,TRAIL,0.727721079582895,0.91,77.30551064787474,10535.259007693108,10612.564518340983,18
LONG,2020-07-27T04:00:00+00:00,10250.89977,2020-07-27T16:00:00+00:00,10322.542666376861,TRAIL,0.35383616702754406,0.856,19.890126838053053,10612.564518340983,10632.454645179036,12
LONG,2020-07-27T17:00:00+00:00,10722.334038,2020-07-27T23:00:00+00:00,10702.34407786366,TRAIL,0.22979083869763592,0.856,-8.285905770065579,10632.454645179036,10624.16873940897,6
LONG,2020-07-31T16:00:00+00:00,11349.159377999998,2020-08-02T04:00:00+00:00,11635.4752987446,TRAIL,0.21365758259266093,0.55,57.490436372727125,10624.16873940897,10681.659175781697,36
LONG,2020-08-05T16:00:00+00:00,11664.342402,2020-08-05T22:00:00+00:00,11509.13975629448,TRAIL,0.21484790728844627,0.55,-37.0790442451829,10681.659175781697,10644.580131536513,6
SHORT,2020-09-03T13:00:00+00:00,10816.756216,2020-09-07T22:00:00+00:00,10268.44903971215,TRAIL,0.26110911247289276,1.0,139.03884574006761,10644.580131536513,10783.618977276581,105
LONG,2020-09-15T13:00:00+00:00,10910.121588,2020-09-17T10:00:00+00:00,10793.694245526269,TRAIL,0.4089828641459223,1.0,-54.27415456167316,10783.618977276581,10729.344822714907,45
