side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2025-12-01T00:00:00+00:00,90341.937998,2025-12-01T00:00:00+00:00,88911.99314163903,TRAIL,0.03876572178302065,0.604,50.2211634494465,7972.334685063607,8022.555848513053,0
SHORT,2025-12-01T01:00:00+00:00,86982.6,2025-12-02T01:00:00+00:00,87039.11946366263,TRAIL,0.0225317679956247,0.532,-4.214246199349621,8022.555848513053,8018.341602313703,24
SHORT,2025-12-05T17:00:00+00:00,88793.117824,2025-12-07T15:00:00+00:00,89602.24536535169,TRAIL,0.020263144857144682,0.604,-19.106606892926095,8018.341602313703,7999.2349954207775,46
LONG,2025-12-09T17:00:00+00:00,94206.647562,2025-12-10T11:00:00+00:00,91843.91674067832,TRAIL,0.03439760672243042,1.0,-86.07205618881531,7999.2349954207775,7913.162939231962,18
SHORT,2025-12-17T19:00:00+00:00,85812.08415,2025-12-18T13:00:00+00:00,88437.58338533851,TRAIL,0.01052482574818106,0.3879999999999999,-29.00838249453645,7913.162939231962,7884.154556737425,18
SHORT,2025-12-18T20:00:00+00:00,84466.90324,2025-12-19T03:00:00+00:00,87379.79081776085,TRAIL,0.011120188778672224,0.4059999999999999,-33.82508551493467,7884.154556737425,7850.329471222491,7
LONG,2026-01-05T01:00:00+00:00,92423.94109200001,2026-01-06T16:00:00+00:00,92802.04171368071,TRAIL,0.07684552590201256,1.0,18.380000072366528,7850.329471222491,7868.709471294857,39
LONG,2026-01-13T16:00:00+00:00,93468.679998,2026-01-15T15:00:00+00:00,95503.19440510133,TRAIL,0.046344499655332466,1.0,87.72019701256951,7868.709471294857,7956.429668307427,47
