side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2020-04-06T07:00:00+00:00,7001.4,2020-04-07T20:00:00+00:00,7178.868695075509,TRAIL,0.4219050670134649,1.0,70.3878962780764,9931.917060595884,10002.30495687396,37
SHORT,2020-04-10T16:00:00+00:00,6798.64,2020-04-12T14:00:00+00:00,6947.943743067814,TRAIL,0.14863591455321395,0.37,-23.724325432077418,10002.30495687396,9978.580631441884,46
LONG,2020-04-12T22:00:00+00:00,7036.15695,2020-04-13T00:00:00+00:00,6820.337021206628,TRAIL,0.4683710114605943,1.0,-105.95128341474847,9978.580631441884,9872.629348027136,2
LONG,2020-04-27T01:00:00+00:00,7701.54,2020-04-30T09:00:00+00:00,8848.452267908368,TRAIL,0.5054344947892097,1.0,573.4153199622907,9872.629348027136,10446.044667989427,80
LONG,2020-05-03T06:00:00+00:00,9011.802,2020-05-03T13:00:00+00:00,8838.609935173037,TRAIL,0.3835973776951522,1.0,-71.57155031206456,10446.044667989427,10374.473117677362,7
SHORT,2020-05-26T16:00:00+00:00,8783.272994,2020-05-27T10:00:00+00:00,9020.25016301805,TRAIL,0.3329708141640198,0.802,-83.35252110665971,10374.473117677362,10291.120596570703,18
SHORT,2020-06-15T07:00:00+00:00,9120.1756,2020-06-15T16:00:00+00:00,9336.782565423142,TRAIL,0.3060981779413402,0.766,-70.54022839400815,10291.120596570703,10220.580368176696,9
