window,test_start,test_end,bars,trades,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,8,3.2827612604734426,2.293828598608855,-0.005119290988198522,0.5,10000.0,10202.743394580202
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,4,0.4002187587897825,-1.6926867994791746,-0.014808099457401691,0.25,10202.743394580202,10066.557369237944
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,5,0.23773459960426854,-1.8649543717037766,-0.010182216327328186,0.2,10066.557369237944,9988.235678165975
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,4,1.8045785796212168,1.056201072253242,-0.014277656394563576,0.5,9988.235678165975,10106.009973304182
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,5,1.6250384394681883,0.9582359691834889,-0.013619381427740329,0.4,10106.009973304182,10212.431084421389
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,4,4.201625075851981,1.5324027715182578,-0.003500730125964191,0.5,10212.431084421389,10332.838212889645
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,4,0.4540683397849489,-1.0593791706597762,-0.005468197118396634,0.75,10332.838212889645,10301.915204505542
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,4,3.264575380803418,1.8898916244184305,-0.005211188522548871,0.5,10301.915204505542,10425.593491497946
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,4,0.7165002826264939,-0.5967409268751092,-0.013995246710371112,0.25,10425.593491497946,10383.809407246714
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,8,1.112993084047787,0.2196302718632367,-0.015218920987443041,0.5,10383.809407246714,10404.719406219458
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,5,2.3891331715980706,1.2302598895864973,-0.005744495527703952,0.4,10404.719406219458,10532.870720284094
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,10,4.930482875176679,3.4152441708777226,-0.006587043279946858,0.6,10532.870720284094,10883.538704907953
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,4,0.0,-3.118682842186135,-0.009955051497001377,0.0,10883.538704907953,10775.192516630987
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,4,1.7427683021926725,0.7784924799020534,-0.003175707936354466,0.5,10775.192516630987,10800.750656554039
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,9,3.32613057422434,2.672587692939111,-0.008752760860033959,0.5555555555555556,10800.750656554039,11314.240886431184
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,6,1.351886431848987,0.5553085230600001,-0.014897772284792499,0.5,11314.240886431184,11374.731144285692
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,2,2.428223553364603,1.1060162748163316,-0.004750461986108845,0.5,11374.731144285692,11452.806138892294
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,4,inf,3.9401033291603724,0.0,1.0,11452.806138892294,12088.800667882297
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,6,0.9054698231919601,-0.19016528333682992,-0.013617152552339307,0.5,12088.800667882297,12071.502092088032
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,5,0.0,-3.8750424662032277,-0.02034832855298374,0.0,12071.502092088032,11825.867201390194
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,3,1.8408102798434172,0.8657737062055201,-0.010490364267705221,0.3333333333333333,11825.867201390194,11930.176152775475
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,10,0.33746665883860527,-2.8801865926819716,-0.024079485825208136,0.2,11930.176152775475,11689.740580518212
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,8,1.6821652224798416,0.9063798311183481,-0.009207997966662607,0.375,11689.740580518212,11793.85969491349
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,6,0.8019689843789837,-0.40238834759186126,-0.016342684492822168,0.16666666666666666,11793.85969491349,11754.2830981336
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,2,0.0,-2.8388158900215337,-0.008817206743729322,0.0,11754.2830981336,11650.643153933031
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,9,2.3698001162219744,1.5460570472153186,-0.008509177349309005,0.5555555555555556,11650.643153933031,11845.618604547322
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,2,0.0,-3.5912962510172854,-0.0144450393758635,0.0,11845.618604547322,11674.508177373174
