window,test_start,test_end,bars,trades,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,1,inf,2.018049654307951,0.0,1.0,10000.0,10057.594352053435
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,1,inf,2.016175884494152,0.0,1.0,10057.594352053435,10058.624288748308
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,0,0.0,0.0,0.0,0.0,10058.624288748308,10058.624288748308
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,1,inf,2.015240954750167,0.0,1.0,10058.624288748308,10250.045289876021
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,1,0.0,-2.015708257006825,-0.000643218748894725,0.0,10250.045289876021,10243.452268568553
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,3,inf,2.7187956332427357,0.0,1.0,10243.452268568553,10467.992228674442
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,0,0.0,0.0,0.0,0.0,10467.992228674442,10467.992228674442
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,2,46.03814148153897,1.9728675910891627,-0.00024889707305286723,0.5,10467.992228674442,10586.697184124918
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,1,0.0,-2.0161758844941526,-0.007012912259009685,0.0,10586.697184124918,10512.453605659945
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,1,0.0,-2.0152409547501673,-0.006198830419143264,0.0,10512.453605659945,10447.288688469347
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,1,0.0,-2.014307324422203,-0.0013511080163348677,0.0,10447.288688469347,10433.173272973392
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,3,2.8327868496664395,1.6503469970696159,-0.0041125523354863525,0.6666666666666666,10433.173272973392,10511.81260538337
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,0,0.0,0.0,0.0,0.0,10511.81260538337,10511.81260538337
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,2,0.13750538335839452,-1.720946483991291,-0.0018967948813746194,0.5,10511.81260538337,10494.611052323646
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,2,inf,2.845967740775327,0.0,1.0,10494.611052323646,10885.710961991828
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,1,0.0,-2.0147739773473625,-0.007895486865474255,0.0,10885.710961991828,10799.762974070072
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,1,inf,2.014307324422204,0.0,1.0,10799.762974070072,10974.44830700011
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,0,0.0,0.0,0.0,0.0,10974.44830700011,10974.44830700011
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,1,inf,2.0143073244222034,0.0,1.0,10974.44830700011,11063.544329917713
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,2,49.68414041003406,1.9733571853892335,-0.00024630068608055833,0.5,11063.544329917713,11196.206595012749
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,0,0.0,0.0,0.0,0.0,11196.206595012749,11196.206595012749
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,1,0.0,-2.0143073244222034,-0.0025785634239382516,0.0,11196.206595012749,11167.336466199993
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,1,inf,2.0143073244222034,0.0,1.0,11167.336466199993,11194.584215387156
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,2,0.0,-2.365558908904163,-0.0023517858078052623,0.0,11194.584215387156,11168.256951105128
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,0,0.0,0.0,0.0,0.0,11168.256951105128,11168.256951105128
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,2,0.16284552264129418,-1.6641487976151061,-0.001528329720201671,0.5,11168.256951105128,11153.96418911825
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,1,0.0,-2.559683974510184,-0.006310220373223818,0.0,11153.96418911825,11083.580217049866
