side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2022-06-14T02:00:00+00:00,20850.829,2022-06-14T05:00:00+00:00,22906.529633015027,TRAIL,0.011225647152527295,0.244,-23.44497345870929,9417.348337261768,9393.90336380306,3
SHORT,2022-06-18T07:00:00+00:00,19435.372148,2022-06-18T21:00:00+00:00,18856.11349232484,TRAIL,0.019731983543085016,0.20799999999999996,10.86324703760042,9393.90336380306,9404.76661084066,14
SHORT,2022-06-30T09:00:00+00:00,19230.213188,2022-06-30T23:00:00+00:00,19471.531637273587,TRAIL,0.0460705024946372,0.29799999999999993,-12.454918842900382,9404.76661084066,9392.311691997758,14
SHORT,2022-07-11T02:00:00+00:00,20548.63945,2022-07-13T08:00:00+00:00,19928.33339071609,TRAIL,0.077359596162097,0.4959999999999999,45.63816453848862,9392.311691997758,9437.949856536246,54
SHORT,2022-07-13T13:00:00+00:00,19161.176998,2022-07-13T17:00:00+00:00,19919.14239490114,TRAIL,0.04655128190498206,0.37,-36.648690089113416,9437.949856536246,9401.301166447132,4
SHORT,2022-07-17T18:00:00+00:00,20917.245714,2022-07-18T05:00:00+00:00,21437.672485706848,TRAIL,0.07311426124576993,0.532,-40.37318036158951,9401.301166447132,9360.927986085542,11
LONG,2022-07-18T16:00:00+00:00,22680.365166,2022-07-18T19:00:00+00:00,21760.050016279612,TRAIL,0.10270627188751924,1.0,-97.94537001276414,9360.927986085542,9262.982616072779,3
LONG,2022-07-19T17:00:00+00:00,23241.307332,2022-07-20T20:00:00+00:00,23123.71503532918,TRAIL,0.07913194587481644,1.0,-12.057023085792824,9262.982616072779,9250.925592986987,27
LONG,2022-07-28T03:00:00+00:00,23287.196508,2022-07-30T19:00:00+00:00,23859.724553551787,TRAIL,0.10657202341661645,1.0,57.247065195669784,9250.925592986987,9308.172658182657,64
SHORT,2022-08-20T00:00:00+00:00,20830.223122,2022-08-21T08:00:00+00:00,21404.30564410944,TRAIL,0.08424207845415063,0.694,-51.03034823104177,9308.172658182657,9257.142309951616,32
SHORT,2022-08-26T16:00:00+00:00,20776.703828,2022-08-29T12:00:00+00:00,19983.387157783025,TRAIL,0.08048198427251929,0.586,61.3873600242819,9257.142309951616,9318.529669975898,68
SHORT,2022-08-30T15:00:00+00:00,19828.363534000004,2022-08-31T01:00:00+00:00,20198.30853377278,TRAIL,0.10383657471677907,0.586,-41.53099600362656,9318.529669975898,9276.998673972272,10
SHORT,2022-09-02T18:00:00+00:00,19798.229562,2022-09-04T12:00:00+00:00,19904.009974439017,TRAIL,0.09391081877962391,0.55,-12.730277509683189,9276.998673972272,9264.268396462588,42
