window,test_start,test_end,bars,trades,gross_profit,gross_loss,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end,window_return_pct
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,1,144.67103273532797,0.0,inf,2.0185189136223527,0.0,1.0,10000.0,10144.671032735328,0.014467103273532844
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,0,0.0,0.0,,,0.0,,10144.671032735328,10144.671032735328,0.0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,1,0.0,100.73073754180317,0.0,-2.018049654307951,-0.009929423755266287,0.0,10144.671032735328,10043.940295193524,-0.009929423755266287
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,1,0.0,16.05539161950841,0.0,-2.0157082570068248,-0.0015985152388042767,0.0,10043.940295193524,10027.884903574017,-0.0015985152388042767
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,1,0.0,7.814762644837818,0.0,-2.0161758844941517,-0.0007793031850666932,0.0,10027.884903574017,10020.07014092918,-0.0007793031850666932
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,4,199.5873160063166,175.06467942104263,1.1400775797058145,0.26151447898154545,-0.010622055266609642,0.5,10020.07014092918,10044.592777514454,0.0024473517889964658
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,1,0.0,24.356138534446675,0.0,-2.018049654307951,-0.0024248009923280023,0.0,10044.592777514454,10020.236638980006,-0.0024248009923280023
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,0,0.0,0.0,,,0.0,,10020.236638980006,10020.236638980006,0.0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,0,0.0,0.0,,,0.0,,10020.236638980006,10020.236638980006,0.0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,0,0.0,0.0,,,0.0,,10020.236638980006,10020.236638980006,0.0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,1,193.82132119298663,0.0,inf,2.014773977347362,0.0,1.0,10020.236638980006,10214.057960172993,0.01934298841197002
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,1,0.0,95.94503167367817,0.0,-2.0147739773473616,-0.009393429335117442,0.0,10214.057960172993,10118.112928499315,-0.009393429335117442
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10118.112928499315,10118.112928499315,0.0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10118.112928499315,10118.112928499315,0.0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,2,283.2172768663097,0.0,inf,2.7570566981396887,0.0,1.0,10118.112928499315,10401.330205365624,0.02799111641347496
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,4,0.0,341.63700110414806,0.0,-4.016680973312715,-0.03284551056055429,0.0,10401.330205365624,10059.693204261475,-0.03284551056055429
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,1,162.7098010676061,0.0,inf,2.0147739773473616,0.0,1.0,10059.693204261475,10222.40300532908,0.016174429752855435
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,4,454.16395971405984,65.38920470166777,6.9455495258910265,2.840381523812425,-0.006396656898341679,0.75,10222.40300532908,10611.177760341472,0.03803164038922335
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,3,85.15578793638613,116.09508627150181,0.7335003631182069,-0.5082752984229674,-0.01094082946243713,0.3333333333333333,10611.177760341472,10580.238462006357,-0.0029157270789250678
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10580.238462006357,10580.238462006357,0.0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10580.238462006357,10580.238462006357,0.0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,2,0.0,163.69771410741228,0.0,-2.6465343844616016,-0.015472025011085688,0.0,10580.238462006357,10416.540747898944,-0.015472025011085688
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,1,0.0,15.817253271338195,0.0,-2.0147739773473625,-0.0015184746696764728,0.0,10416.540747898944,10400.723494627606,-0.0015184746696764728
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10400.723494627606,10400.723494627606,0.0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10400.723494627606,10400.723494627606,0.0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,1,194.08635609042597,0.0,inf,2.014773977347362,0.0,1.0,10400.723494627606,10594.809850718031,0.018660851448524696
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,1,0.0,116.6231337734918,0.0,-2.560641760876541,-0.011007572143032607,0.0,10594.809850718031,10478.18671694454,-0.011007572143032607
