side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2022-12-14T19:00:00+00:00,18161.03148,LIMIT,2022-12-14T20:00:00+00:00,17688.05222917815,TRAIL,0.19852526961585,1.0,-99.23604504874532,9247.494718933951,9148.258673885206,1
SHORT,2022-12-16T16:00:00+00:00,16968.935534000004,FALLBACK_MKT,2022-12-18T22:00:00+00:00,16833.87552216792,TRAIL,0.15363893262576128,0.622,16.855405200489066,9148.258673885206,9165.114079085695,54
LONG,2023-01-08T16:00:00+00:00,16971.063533999997,LIMIT,2023-01-08T23:00:00+00:00,16990.872103649985,TRAIL,0.9769930366901362,1.0,-5.532596358047629,9165.114079085695,9159.581482727648,7
LONG,2023-01-09T06:00:00+00:00,17209.391190000002,FALLBACK_MKT,2023-01-09T21:00:00+00:00,17169.95264798165,TRAIL,0.5785708922088751,1.0,-37.736158171398536,9159.581482727648,9121.845324556249,15
LONG,2023-01-10T21:00:00+00:00,17459.561213999998,LIMIT,2023-01-11T23:00:00+00:00,17658.713708109277,TRAIL,0.48054345225622885,1.0,83.04453424344607,9121.845324556249,9204.889858799696,26
LONG,2023-01-12T07:00:00+00:00,18150.87945,FALLBACK_MKT,2023-01-12T13:00:00+00:00,17968.57364727091,TRAIL,0.27994997081297024,1.0,-58.620234033314915,9204.889858799696,9146.26962476638,6
LONG,2023-01-13T00:00:00+00:00,18850.389324,FALLBACK_MKT,2023-01-14T00:00:00+00:00,20037.17590970891,TRAIL,0.14818195707892826,1.0,171.5385322635913,9146.26962476638,9317.808157029973,24
LONG,2023-01-16T03:00:00+00:00,21054.950148,LIMIT,2023-01-16T15:00:00+00:00,20644.351268225833,TRAIL,0.16327954441641743,1.0,-72.14888023071043,9317.808157029973,9245.659276799262,12
LONG,2023-01-21T00:00:00+00:00,22452.4896,LIMIT,2023-01-22T20:00:00+00:00,22592.345352454224,TRAIL,0.13176825129587252,0.946,13.976938585864326,9245.659276799262,9259.636215385126,44
LONG,2023-02-14T15:00:00+00:00,21901.379399999998,LIMIT,2023-02-15T20:00:00+00:00,23423.11580395089,TRAIL,0.170323201381656,1.0,253.39715613681616,9259.636215385126,9513.033371521942,29
LONG,2023-02-16T16:00:00+00:00,24909.981,LIMIT,2023-02-16T22:00:00+00:00,24214.156072925434,TRAIL,0.09540340095646163,0.784,-69.8990218225518,9513.033371521942,9443.13434969939,6
LONG,2023-02-17T21:00:00+00:00,24565.552128,LIMIT,2023-02-19T17:00:00+00:00,24549.728812859004,TRAIL,0.0843841397610853,0.802,-4.4436498848302275,9443.13434969939,9438.69069981456,44
LONG,2023-02-26T22:00:00+00:00,23549.638985999998,LIMIT,2023-02-27T16:00:00+00:00,23385.532220749,TRAIL,0.21869562813781487,0.982,-43.58781966984408,9438.69069981456,9395.102880144716,18
SHORT,2023-03-10T03:00:00+00:00,20036.431912,FALLBACK_MKT,2023-03-10T13:00:00+00:00,20286.57483588438,TRAIL,0.09964749064336477,0.712,-27.939679495489383,9395.102880144716,9367.163200649225,10
