window,test_start,test_end,bars,trades,final_equity,max_drawdown,sharpe_approx,profit_factor,win_rate,entry_limit_fills,entry_fallback_market
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,4,10174.24573519367,-0.005823859533264142,1.4473013701557038,2.848608554895453,0.5,4,0
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,5,10157.520792477606,-0.008806213826489828,-0.21577055019003571,0.8974176862524655,0.4,5,0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,8,9931.917060595884,-0.02357884522816689,-2.9290536288736346,0.23309841131301423,0.125,8,0
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,7,10220.580368176696,-0.021583700527687544,1.0081835769753495,1.8128157397751803,0.2857142857142857,7,0
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,6,10232.410908075897,-0.013294113696165843,0.16345259581296012,1.0732445291863126,0.3333333333333333,6,0
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,9,10138.286209878246,-0.013499191544756761,-0.9590899659229515,0.6632564316133471,0.2222222222222222,9,0
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,5,10090.80692549904,-0.005597390992581497,-1.6461905616497323,0.2512094382957535,0.6,5,0
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,5,10104.86881175297,-0.010373739997893594,0.18647084713792123,1.0906779407687501,0.4,5,0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,7,9887.041545209599,-0.0308260149435281,-2.5978782793937603,0.3073238313195927,0.14285714285714285,7,0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,11,9829.693488438419,-0.017387983299336995,-0.35942546115626955,0.8351311010791119,0.2727272727272727,11,0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,11,9565.035814316456,-0.02692430587314354,-2.790490690346152,0.3298669145497075,0.18181818181818182,11,0
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9,9642.805331700145,-0.008006277236566772,0.8231455854993791,1.4336628812288115,0.3333333333333333,9,0
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,6,9490.097256912597,-0.0159968679482988,-3.5867893478293413,0.021068135836832386,0.16666666666666666,6,0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,7,9432.645946500834,-0.009657873083359303,-1.3125583816345356,0.5019900948168584,0.42857142857142855,7,0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,12,9683.16363610004,-0.01411320784050385,1.4370996577549573,1.761377339498879,0.4166666666666667,12,0
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,8,9598.90855693467,-0.0227592862927265,-0.9477114914444947,0.6564567987409913,0.5,8,0
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,3,9802.958483506396,-0.013176687307617563,1.2053911264075114,2.5588791206764987,0.3333333333333333,3,0
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,3,10273.284497457364,-0.001420785652962664,2.7597071042634287,34.76861697839904,0.6666666666666666,3,0
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,8,10303.305767612099,-0.009792690556576722,0.29164100729363396,1.148820321933323,0.25,8,0
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,10,9884.098028700571,-0.04068672214206093,-4.63348120092721,0.09540345244699865,0.1,10,0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,5,10138.902499249834,-0.01479090987140097,1.4369751272498867,2.742910590128395,0.6,5,0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,13,9895.685955786117,-0.024879213825932833,-3.012974678692466,0.36358185575722585,0.23076923076923078,13,0
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,6,9877.697005194097,-0.009666529130569423,-0.4712866529718487,0.8119430619544747,0.3333333333333333,6,0
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,7,9642.06567058092,-0.03115031794899703,-2.7750778525841935,0.24917881369108774,0.14285714285714285,7,0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,5,9343.982003541127,-0.030914917738973813,-4.334103915231243,0.0,0.0,5,0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,13,9289.166049726276,-0.046543212831274494,-0.2576310358178232,0.8795946892403835,0.38461538461538464,13,0
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,2,9225.89420785135,-0.008569580296048818,-1.9875594401987275,0.20657716674300433,0.5,2,0
