window,train_start,train_end,test_start,test_end,bars_test,equity_start,equity_end,return_pct,trades,profit_factor,max_drawdown,sharpe_approx,win_rate,avg_pnl,median_pnl,avg_hold_bars,long_trades,short_trades,avg_size_mult
0,2019-01-01T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,10000.0,10123.369309199237,0.012336930919923716,7,1.6313403191536409,-0.0117748088256322,0.981263405003954,0.5714285714285714,17.62418702846247,13.994111178511744,32.285714285714285,4,3,0.766
1,2019-04-01T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,10123.369309199237,10057.288689507212,-0.00652753225469882,10,0.8283471280125232,-0.024965531900319138,-0.45516119553109047,0.5,-6.608061969202607,-23.275007783113693,24.2,5,5,0.8073999999999998
2,2019-06-30T00:00:00+00:00,2019-12-27T00:00:00+00:00,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,10057.288689507212,10001.838124370623,-0.005513470563337841,8,0.6934752716308386,-0.016812797006817704,-0.803944341244856,0.375,-6.931320642073198,-16.28372403906613,20.375,4,4,0.64225
3,2019-09-28T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,10001.838124370623,10301.53359982032,0.029964039781793295,9,1.6785265502818378,-0.019142693383761844,0.9689186987245711,0.3333333333333333,33.299497272188525,-29.938591008630734,30.88888888888889,5,4,0.804
4,2019-12-27T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,10301.53359982032,10337.05162324773,0.003447838429418759,8,1.1443568202400733,-0.01966279587211639,0.34321730627868535,0.5,4.439752928425959,5.5618356175293835,26.375,6,2,0.81325
5,2020-03-26T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,10337.05162324773,10260.833299756907,-0.0073733136167579705,10,0.7586372016503319,-0.018308819283723854,-0.6619210215624735,0.2,-7.6218323490821716,-26.109223285676904,14.0,9,1,0.5536000000000001
6,2020-06-24T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,10260.833299756907,10141.017459810966,-0.011677008722944526,7,0.03524493225828333,-0.012029878861203436,-3.4742262650195586,0.2857142857142857,-17.11654856370599,-15.665137050549951,24.857142857142858,6,1,0.3648571428571428
7,2020-09-22T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,10141.017459810966,10135.840863971682,-0.0005104611898952838,5,0.9689031339375616,-0.010376019911465861,-0.04842517504741895,0.6,-1.0353191678567952,14.860263886062029,44.8,0,5,0.6975999999999999
8,2020-12-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,10135.840863971682,9879.497627724228,-0.025290771598303063,10,0.33256818224631846,-0.02721003736108818,-2.814552664463805,0.4,-25.634323624745196,-45.61912183823179,24.5,4,6,0.8092
9,2021-03-21T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,9879.497627724228,9533.304877166242,-0.03504153385152764,14,0.40267913977347364,-0.04067092816177453,-2.3188655595325125,0.07142857142857142,-24.728053611284583,-39.427930588166475,24.357142857142858,6,8,0.7300000000000001
