side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2022-06-14T02:00:00+00:00,21752.378654,LIMIT,2022-06-15T18:00:00+00:00,21872.929002695975,TRAIL,0.010968304374653437,0.244,-1.6811046565804666,9453.528934125286,9451.847829468707,40
SHORT,2022-06-18T09:00:00+00:00,19062.98664,LIMIT,2022-06-18T21:00:00+00:00,18856.11349232484,TRAIL,0.01805714251797464,0.20799999999999996,3.222004964280323,9451.847829468707,9455.069834432987,12
SHORT,2022-07-13T13:00:00+00:00,19236.152000000002,LIMIT,2022-07-13T17:00:00+00:00,20033.31812812249,TRAIL,0.04432182281841903,0.37,-36.63722676038391,9455.069834432987,9418.432607672603,4
LONG,2022-07-19T17:00:00+00:00,23204.53998,LIMIT,2022-07-20T20:00:00+00:00,23123.71503532918,TRAIL,0.07949095381558711,1.0,-9.186859828810856,9418.432607672603,9409.245747843792,27
SHORT,2022-08-29T03:00:00+00:00,19807.037800000002,LIMIT,2022-08-29T14:00:00+00:00,20197.432972593848,TRAIL,0.11151031810131101,0.532,-46.87877332715088,9409.245747843792,9362.36697451664,11
SHORT,2022-08-30T17:00:00+00:00,19646.07,LIMIT,2022-08-31T01:00:00+00:00,20217.84746364615,TRAIL,0.09730935234734005,0.586,-58.548643667023136,9362.36697451664,9303.818330849617,8
