window,train_start,train_end,test_start,test_end,bars_test,equity_start,equity_end,return_pct,trades,profit_factor,max_drawdown,sharpe_approx,win_rate,avg_pnl,median_pnl,avg_hold_bars,long_trades,short_trades,avg_size_mult
0,2019-01-01T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,10000.0,10174.24573519367,0.017424573519366993,4,2.848608554895453,-0.005823859533264142,1.4473013701557038,0.5,43.56143379841723,1.0043965914295967,31.0,2,2,0.6174999999999999
1,2019-04-01T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,10174.24573519367,10157.520792477606,-0.0016438508712455224,5,0.8974176862524655,-0.008806213826489828,-0.21577055019003571,0.4,-3.3449885432128257,-26.653846790874294,32.2,2,3,0.7263999999999999
2,2019-06-30T00:00:00+00:00,2019-12-27T00:00:00+00:00,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,10157.520792477606,9931.917060595884,-0.022210511451652426,8,0.23309841131301423,-0.02357884522816689,-2.9290536288736346,0.125,-28.200466485215383,-25.133066874980834,15.875,4,4,0.6265
3,2019-09-28T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,9931.917060595884,10220.580368176696,0.02906420843223323,7,1.8128157397751803,-0.021583700527687544,1.0081835769753495,0.2857142857142857,41.237615368686974,-70.54022839400815,28.428571428571427,4,3,0.8482857142857144
4,2019-12-27T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,10220.580368176696,10232.410908075897,0.0011575213415508934,6,1.0732445291863126,-0.013294113696165843,0.16345259581296012,0.3333333333333333,1.9717566498672336,-12.823791588168161,14.833333333333334,5,1,0.826
5,2020-03-26T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,10232.410908075897,10138.286209878246,-0.009198682406642122,9,0.6632564316133471,-0.013499191544756761,-0.9590899659229515,0.2222222222222222,-10.458299799739251,-26.063752261614706,19.11111111111111,8,1,0.5539999999999999
6,2020-06-24T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,10138.286209878246,10090.80692549904,-0.004683166700595209,5,0.2512094382957535,-0.005597390992581497,-1.6461905616497323,0.6,-9.495856875841328,1.6600807639523385,31.8,4,1,0.38439999999999996
7,2020-09-22T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,10090.80692549904,10104.86881175297,0.0013935343682371926,5,1.0906779407687501,-0.010373739997893594,0.18647084713792123,0.4,2.8123772507862363,-2.5156984208015656,44.6,0,5,0.6724
8,2020-12-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,10104.86881175297,9887.041545209599,-0.02155666447544735,7,0.3073238313195927,-0.0308260149435281,-2.5978782793937603,0.14285714285714285,-31.118180934767082,-43.22289238866565,31.571428571428573,2,5,0.7788571428571428
9,2021-03-21T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,9887.041545209599,9747.77383403969,-0.014085883075649175,11,0.6590505560526043,-0.025576970769885743,-0.9018467896335651,0.18181818181818182,-12.660701015446142,-30.522986665907112,30.181818181818183,5,6,0.6989090909090908
