window,test_start,test_end,bars,trades,final_equity,max_drawdown,sharpe_approx,profit_factor,win_rate,entry_limit_fills,entry_fallback_market
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,4,10174.24573519367,-0.005823859533264142,1.4473013701557038,2.848608554895453,0.5,4,0
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,5,10136.376291492319,-0.008806213826489828,-0.533159707385702,0.7675100373395024,0.4,5,0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,7,10011.498039936077,-0.013701987101214508,-2.1275641043679174,0.3562962057829291,0.14285714285714285,7,0
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,7,10302.474305687674,-0.021583700527687433,1.0081835769753535,1.8128157397751803,0.2857142857142857,7,0
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,6,10314.39963956729,-0.013294113696165843,0.16345259581297272,1.073244529186313,0.3333333333333333,6,0
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,9,10219.520753067722,-0.013499191544756983,-0.9590899659229711,0.6632564316133469,0.2222222222222222,9,0
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,4,10162.363935154652,-0.005755707165333912,-1.9938475249529657,0.10501864221667347,0.5,4,0
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,5,10176.525538560825,-0.010373739997893594,0.18647084713790904,1.0906779407687506,0.4,5,0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,7,9898.374071823753,-0.03082601494352788,-3.9005250000531957,0.11650955776396998,0.14285714285714285,7,0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,11,9758.946732009008,-0.025576970769885743,-0.9018467896335455,0.6590505560526047,0.18181818181818182,11,0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,11,9496.193865196685,-0.026924305873143317,-2.7904906903461058,0.3298669145497075,0.18181818181818182,11,0
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9,9573.403655961183,-0.008006277236566661,0.8231455854993981,1.4336628812288115,0.3333333333333333,9,0
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,6,9421.794659286752,-0.01599686794829891,-3.5867893478293813,0.02106813583683239,0.16666666666666666,6,0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,7,9364.756840289452,-0.009657873083359192,-1.3125583816344881,0.5019900948168585,0.42857142857142855,7,0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,11,9554.357251370817,-0.014113207840504072,1.1218928666137558,1.5825467872476637,0.36363636363636365,11,0
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,7,9434.137595455848,-0.017765909295233584,-2.3160415129717293,0.2933686841024508,0.42857142857142855,7,0
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,3,9634.684883952476,-0.013176687307617563,1.2053911264075114,2.558879120676498,0.3333333333333333,3,0
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,3,10096.93747277729,-0.0014207856529625529,2.7597071042634345,34.76861697839903,0.6666666666666666,3,0
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,7,10226.589233830988,-0.006057825033831232,1.3406706744236438,2.3155364536250205,0.2857142857142857,7,0
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,10,9810.502839213115,-0.040686722142060816,-4.633481200927227,0.09540345244699866,0.1,10,0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,4,10057.597399063678,-0.014790909871401081,1.405335387117053,2.7028524768794298,0.5,4,0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,13,9816.331238832734,-0.024879213825932833,-3.012974678692416,0.3635818557572259,0.23076923076923078,13,0
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,6,9798.486543837436,-0.009666529130569312,-0.47128665297181777,0.8119430619544749,0.3333333333333333,6,0
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,7,9564.744765738798,-0.03115031794899703,-2.775077852584187,0.24917881369108763,0.14285714285714285,7,0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,4,9349.360244149655,-0.022518585374139533,-3.89404478921133,0.0,0.0,4,0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,12,9326.506440655494,-0.04326121057133847,-0.08469427551111344,0.9460475799191229,0.4166666666666667,12,0
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,2,9262.980259984408,-0.008569580296048596,-1.987559440198787,0.20657716674300433,0.5,2,0
