side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2019-09-30T05:00:00+00:00,7821.265434,2019-09-30T09:00:00+00:00,8023.192866060908,TRAIL,0.21942125556190686,0.586,-46.91462887561939,9956.345372406911,9909.430743531291,4
SHORT,2019-10-16T12:00:00+00:00,8054.048868,2019-10-17T08:00:00+00:00,8060.3248306430505,TRAIL,0.5595958024142272,0.82,-10.275154261380806,9909.430743531291,9899.15558926991,20
SHORT,2019-10-18T06:00:00+00:00,7907.158252,2019-10-19T12:00:00+00:00,8040.129422123369,TRAIL,0.5291127333256697,0.82,-76.6851740052781,9899.15558926991,9822.470415264632,30
SHORT,2019-10-22T21:00:00+00:00,8114.496776,2019-10-23T12:00:00+00:00,7780.511162723778,TRAIL,0.547777936936374,0.802,176.41974921468224,9822.470415264632,9998.890164479313,15
SHORT,2019-10-23T13:00:00+00:00,7551.859326,2019-10-25T10:00:00+00:00,7548.930617575578,TRAIL,0.3038652368363751,0.694,-2.5515211554541737,9998.890164479313,9996.33864332386,45
LONG,2019-10-26T01:00:00+00:00,9202.020036,2019-10-26T01:00:00+00:00,9251.26223569799,TRAIL,0.16776884904314687,0.946,5.939392721841292,9996.33864332386,10002.2780360457,0
LONG,2019-10-26T02:00:00+00:00,10029.235445999999,2019-10-26T09:00:00+00:00,9251.26223569799,TRAIL,0.12223156563809993,0.946,-96.86039758315009,10002.2780360457,9905.41763846255,7
LONG,2019-10-27T17:00:00+00:00,9679.935599999999,2019-10-28T23:00:00+00:00,9165.937219625677,TRAIL,0.17131922323421273,1.0,-90.47929848884398,9905.41763846255,9814.938339973705,30
LONG,2019-10-31T13:00:00+00:00,9305.770782,2019-11-03T08:00:00+00:00,9208.932243190084,TRAIL,0.30475251764007316,1.0,-33.74359027712153,9814.938339973705,9781.194749696584,67
LONG,2019-11-10T17:00:00+00:00,9022.474134,2019-11-11T05:00:00+00:00,8906.426104376029,TRAIL,0.4800046444717289,1.0,-62.158059739817034,9781.194749696584,9719.036689956767,12
SHORT,2019-11-11T10:00:00+00:00,8657.738105999999,2019-11-12T12:00:00+00:00,8877.997238039356,TRAIL,0.3676833579200219,0.82,-85.82131582195005,9719.036689956767,9633.215374134817,26
SHORT,2019-11-21T09:00:00+00:00,7935.432596000001,2019-11-22T08:00:00+00:00,7670.479590924082,TRAIL,0.41046981387712544,0.6399999999999999,103.95089377663524,9633.215374134817,9737.166267911452,23
SHORT,2019-11-22T11:00:00+00:00,7078.913934,2019-11-25T10:00:00+00:00,6891.830098118965,TRAIL,0.12370585638335933,0.45999999999999996,21.847168992042818,9737.166267911452,9759.013436903495,69
SHORT,2019-11-30T15:00:00+00:00,7553.049088000001,2019-12-04T13:00:00+00:00,7284.085688790836,TRAIL,0.36007491438052164,0.784,92.84011291593019,9759.013436903495,9851.853549819425,94
SHORT,2019-12-09T16:00:00+00:00,7422.425218,2019-12-12T00:00:00+00:00,7292.036507983869,TRAIL,0.3914966433202926,0.6759999999999999,46.72624551768759,9851.853549819425,9898.579795337113,56
LONG,2019-12-23T01:00:00+00:00,7547.549207999999,2019-12-23T17:00:00+00:00,7412.876218760521,TRAIL,0.5424696229655723,1.0,-79.14268795188111,9898.579795337113,9819.437107385233,16
SHORT,2019-12-23T22:00:00+00:00,7313.73696,2019-12-26T16:00:00+00:00,7298.7791891611,TRAIL,0.2812457896436503,0.694,1.1245285886068153,9819.437107385233,9820.56163597384,66
