side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2022-06-14T02:00:00+00:00,20850.829,2022-06-14T05:00:00+00:00,22906.529633015027,TRAIL,0.011336120713314189,0.244,-23.675699550964445,9510.026112525142,9486.350412974178,3
SHORT,2022-06-18T07:00:00+00:00,19435.372148,2022-06-18T21:00:00+00:00,18856.11349232484,TRAIL,0.019926169450923948,0.20799999999999996,10.970154155350086,9486.350412974178,9497.320567129527,14
SHORT,2022-06-30T07:00:00+00:00,19416.445934000003,2022-06-30T23:00:00+00:00,19471.531637273587,TRAIL,0.04773606629795256,0.29799999999999993,-4.021844090188851,9497.320567129527,9493.29872303934,16
SHORT,2022-07-05T12:00:00+00:00,19516.49592,2022-07-05T18:00:00+00:00,20044.411975785853,TRAIL,0.062171996510147313,0.44199999999999995,-34.66628064869503,9493.29872303934,9458.632442390644,6
SHORT,2022-07-11T02:00:00+00:00,20548.63945,2022-07-13T08:00:00+00:00,19928.33339071609,TRAIL,0.07790584575812906,0.4959999999999999,45.960423575241556,9458.632442390644,9504.592865965886,54
SHORT,2022-07-13T13:00:00+00:00,19161.176998,2022-07-13T17:00:00+00:00,19919.14239490114,TRAIL,0.046879988622660476,0.37,-36.9074728794777,9504.592865965886,9467.685393086407,4
SHORT,2022-07-17T18:00:00+00:00,20917.245714,2022-07-18T05:00:00+00:00,21437.672485706848,TRAIL,0.07363053379178992,0.532,-40.65826242712714,9467.685393086407,9427.02713065928,11
LONG,2022-07-18T16:00:00+00:00,22680.365166,2022-07-18T19:00:00+00:00,21760.050016279612,TRAIL,0.10343149878000404,1.0,-98.63697934705507,9427.02713065928,9328.390151312225,3
LONG,2022-07-19T17:00:00+00:00,23241.307332,2022-07-20T20:00:00+00:00,23123.71503532918,TRAIL,0.07969071034117657,1.0,-12.1421598279258,9328.390151312225,9316.247991484299,27
LONG,2022-07-28T03:00:00+00:00,23287.196508,2022-07-30T19:00:00+00:00,23859.724553551787,TRAIL,0.10732454705463626,1.0,57.651296703957776,9316.247991484299,9373.899288188257,64
LONG,2022-08-10T13:00:00+00:00,23988.716783999997,2022-08-11T18:00:00+00:00,24144.896058303642,TRAIL,0.1458410472677136,1.0,17.512456546680042,9373.899288188257,9391.411744734936,29
SHORT,2022-08-20T00:00:00+00:00,20830.223122,2022-08-21T08:00:00+00:00,21404.30564410944,TRAIL,0.08499542005161495,0.694,-51.486691245850665,9391.411744734936,9339.925053489085,32
SHORT,2022-08-26T16:00:00+00:00,20776.703828,2022-08-29T12:00:00+00:00,19983.387157783025,TRAIL,0.08120170092376448,0.586,61.93632145440588,9339.925053489085,9401.861374943492,68
SHORT,2022-08-30T15:00:00+00:00,19828.363534000004,2022-08-31T01:00:00+00:00,20198.30853377278,TRAIL,0.10476514168126742,0.586,-41.902390293128626,9401.861374943492,9359.958984650362,10
SHORT,2022-09-02T18:00:00+00:00,19798.229562,2022-09-04T12:00:00+00:00,19904.009974439017,TRAIL,0.09475062386915675,0.55,-12.844119045543774,9359.958984650362,9347.114865604819,42
SHORT,2022-09-07T03:00:00+00:00,18607.027850000002,2022-09-07T19:00:00+00:00,19192.503986815496,TRAIL,0.08136848497979558,0.532,-49.9460742233807,9347.114865604819,9297.168791381438,16
