side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2019-07-02T18:00:00+00:00,10769.75352,2019-07-04T23:00:00+00:00,11271.162241348415,TRAIL,0.09015972437898623,0.766,43.71646995041524,10000.0,10043.716469950416,53
SHORT,2019-07-15T00:00:00+00:00,10172.145164000001,2019-07-15T18:00:00+00:00,10712.097599299781,TRAIL,0.14327231843993368,1.0,-79.60433766235798,10043.716469950416,9964.112132288057,18
SHORT,2019-07-16T17:00:00+00:00,9921.865230000001,2019-07-17T15:00:00+00:00,9769.420884010427,TRAIL,0.10164533566660325,0.712,13.994111178511744,9964.112132288057,9978.10624346657,22
SHORT,2019-07-24T17:00:00+00:00,9581.0834,2019-07-25T00:00:00+00:00,10008.724937577588,TRAIL,0.10832365601888513,0.45999999999999996,-47.91522456081859,9978.10624346657,9930.19101890575,7
LONG,2019-08-01T21:00:00+00:00,10389.087402,2019-08-02T16:00:00+00:00,10352.261195869849,TRAIL,0.309747167636823,0.874,-16.225243529492474,9930.19101890575,9913.965775376259,19
LONG,2019-08-03T03:00:00+00:00,10791.197808,2019-08-04T04:00:00+00:00,10599.19425534039,TRAIL,0.2514543433718081,0.802,-52.314157502141505,9913.965775376259,9861.651617874117,25
LONG,2019-08-04T16:00:00+00:00,10946.408844,2019-08-06T10:00:00+00:00,11802.330117037533,TRAIL,0.2645908812070365,0.784,221.954632210812,9861.651617874117,10083.60625008493,42
SHORT,2019-08-14T01:00:00+00:00,10758.917786,2019-08-16T15:00:00+00:00,10412.99644504415,TRAIL,0.1134232863256533,0.29799999999999993,37.43449423397197,10083.60625008493,10121.040744318901,54
SHORT,2019-08-21T05:00:00+00:00,10207.908010000001,2019-08-22T18:00:00+00:00,10225.398867852413,TRAIL,0.08036217778501822,0.29799999999999993,-2.637152208388363,10121.040744318901,10118.403592110513,37
SHORT,2019-08-24T10:00:00+00:00,9980.25355,2019-08-25T12:00:00+00:00,10246.162040053325,TRAIL,0.2804781798475594,0.802,-78.83633046832337,10118.403592110513,10039.56726164219,26
LONG,2019-09-02T21:00:00+00:00,10381.905966,2019-09-04T01:00:00+00:00,10419.479316431165,TRAIL,0.39181718193272463,1.0,8.609129160465413,10039.56726164219,10048.176390802657,28
SHORT,2019-09-09T08:00:00+00:00,10145.600473999999,2019-09-09T11:00:00+00:00,10364.811369349045,TRAIL,0.3914470709968509,0.838,-91.83101839574486,10048.176390802657,9956.345372406911,3
