side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2024-03-10T05:00:00+00:00,69229.8432,LIMIT,2024-03-10T22:00:00+00:00,68622.60004585465,TRAIL,0.042100321429589714,0.478,-29.917856103315916,9878.64483791401,9848.726981810692,17
LONG,2024-03-11T10:00:00+00:00,71672.3316,LIMIT,2024-03-12T16:00:00+00:00,70621.80592301849,TRAIL,0.022207053745710012,0.42399999999999993,-25.699030339731785,9848.726981810692,9823.02795147096,30
LONG,2024-04-04T20:00:00+00:00,68201.6376,LIMIT,2024-04-05T05:00:00+00:00,66713.62484848357,TRAIL,0.032839582479052526,0.6399999999999999,-52.188638149950854,9823.02795147096,9770.839313321008,9
SHORT,2024-04-13T22:00:00+00:00,63737.259998,LIMIT,2024-04-15T06:00:00+00:00,66326.81144745,TRAIL,0.028042214873453524,1.0,-75.35222165043213,9770.839313321008,9695.487091670577,32
SHORT,2024-04-15T19:00:00+00:00,63298.327802,LIMIT,2024-04-16T21:00:00+00:00,64341.2951272567,TRAIL,0.035826212356986444,1.0,-40.795202053216634,9695.487091670577,9654.69188961736,26
SHORT,2024-04-17T16:00:00+00:00,60728.851800000004,LIMIT,2024-04-18T14:00:00+00:00,63236.299016077624,TRAIL,0.037796511046454054,1.0,-98.28684404502467,9654.69188961736,9556.405045572335,22
LONG,2024-05-06T10:00:00+00:00,64658.9292,LIMIT,2024-05-06T15:00:00+00:00,63191.7149777501,TRAIL,0.041231283974568385,0.622,-64.44871091142915,9556.405045572335,9491.956334660907,5
LONG,2024-05-17T15:00:00+00:00,66577.542846,LIMIT,2024-05-19T16:00:00+00:00,66612.81583227916,TRAIL,0.03617894178410421,0.5680000000000001,-2.3378753574738202,9491.956334660907,9489.618459303432,49
LONG,2024-05-20T19:00:00+00:00,68663.70999599999,LIMIT,2024-05-21T15:00:00+00:00,69831.60095502471,TRAIL,0.03983911320339806,0.6399999999999999,42.389592347472686,9489.618459303432,9532.008051650904,20
LONG,2024-05-22T16:00:00+00:00,70391.845554,LIMIT,2024-05-22T21:00:00+00:00,68899.68283933372,TRAIL,0.034630969144886524,0.532,-55.29289139720826,9532.008051650904,9476.715160253696,5
