window,test_start,test_end,bars,trades,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,0,,0.0,0.0,,10000.0,10000.0
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,1,0.0,-2.015708257006825,-0.002259982778605951,0.0,10000.0,9977.40017221394
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,0,,0.0,0.0,,9977.40017221394,9977.40017221394
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,1,0.0,-2.014773977347362,-0.004083911260906903,0.0,9977.40017221394,9936.65335529606
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,0,,0.0,0.0,,9936.65335529606,9936.65335529606
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,2,9.690591984189256,1.800240187025767,-0.0015648769690415065,0.5,9936.65335529606,10073.869761656772
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,0,,0.0,0.0,,10073.869761656772,10073.869761656772
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,1,,2.0161758844941526,0.0,1.0,10073.869761656772,10165.442031059873
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,0,,0.0,0.0,,10165.442031059873,10165.442031059873
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,0,,0.0,0.0,,10165.442031059873,10165.442031059873
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,1,0.0,-2.013840995599095,-0.001995493366338197,0.0,10165.442031059873,10145.156958920998
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,2,5.829948372093849,1.6446569887680897,-0.0010024078229119437,0.5,10145.156958920998,10194.275527989043
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,0,,0.0,0.0,,10194.275527989043,10194.275527989043
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,1,0.0,-2.0138409955990952,-0.004345158531741555,0.0,10194.275527989043,10149.979784703677
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,0,,0.0,0.0,,10149.979784703677,10149.979784703677
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,2,0.0,-2.8400625493719978,-0.017567577389814182,0.0,10149.979784703677,9971.669229330846
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,9971.669229330846,10020.307163791407
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,10020.307163791407,10175.055345639776
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,0,,0.0,0.0,,10175.055345639776,10175.055345639776
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,0,,0.0,0.0,,10175.055345639776,10175.055345639776
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,0,,0.0,0.0,,10175.055345639776,10175.055345639776
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,0,,0.0,0.0,,10175.055345639776,10175.055345639776
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,1,,2.0138409955990957,0.0,1.0,10175.055345639776,10368.480945282052
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,1,0.0,-2.0138409955990952,-0.0031924328671226743,0.0,10368.480945282052,10335.380265930198
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,0,,0.0,0.0,,10335.380265930198,10335.380265930198
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,2,0.0,-2.6583895820900776,-0.004224339307982494,0.0,10335.380265930198,10291.720112809882
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,1,0.0,-2.558727262096084,-0.010336562178903663,0.0,10291.720112809882,10185.33910793595
