timestamp,datetime_utc,equity
1639616400000,2021-12-16 01:00:00+00:00,9533.304877166242
1639620000000,2021-12-16 02:00:00+00:00,9533.304877166242
1639623600000,2021-12-16 03:00:00+00:00,9533.304877166242
1639627200000,2021-12-16 04:00:00+00:00,9533.304877166242
1639630800000,2021-12-16 05:00:00+00:00,9533.304877166242
1639634400000,2021-12-16 06:00:00+00:00,9533.304877166242
1639638000000,2021-12-16 07:00:00+00:00,9533.304877166242
1639641600000,2021-12-16 08:00:00+00:00,9533.304877166242
1639645200000,2021-12-16 09:00:00+00:00,9533.304877166242
1639648800000,2021-12-16 10:00:00+00:00,9533.304877166242
1639652400000,2021-12-16 11:00:00+00:00,9533.304877166242
1639656000000,2021-12-16 12:00:00+00:00,9533.304877166242
1639659600000,2021-12-16 13:00:00+00:00,9533.304877166242
1639663200000,2021-12-16 14:00:00+00:00,9533.304877166242
1639666800000,2021-12-16 15:00:00+00:00,9533.304877166242
1639670400000,2021-12-16 16:00:00+00:00,9533.304877166242
1639674000000,2021-12-16 17:00:00+00:00,9533.304877166242
1639677600000,2021-12-16 18:00:00+00:00,9533.304877166242
1639681200000,2021-12-16 19:00:00+00:00,9533.304877166242
1639684800000,2021-12-16 20:00:00+00:00,9533.304877166242
1639688400000,2021-12-16 21:00:00+00:00,9533.304877166242
1639692000000,2021-12-16 22:00:00+00:00,9533.304877166242
1639695600000,2021-12-16 23:00:00+00:00,9533.304877166242
1639699200000,2021-12-17 00:00:00+00:00,9533.304877166242
1639702800000,2021-12-17 01:00:00+00:00,9533.304877166242
1639706400000,2021-12-17 02:00:00+00:00,9533.304877166242
1639710000000,2021-12-17 03:00:00+00:00,9533.304877166242
1639713600000,2021-12-17 04:00:00+00:00,9533.304877166242
1639717200000,2021-12-17 05:00:00+00:00,9533.304877166242
1639720800000,2021-12-17 06:00:00+00:00,9533.304877166242
1639724400000,2021-12-17 07:00:00+00:00,9533.304877166242
1639728000000,2021-12-17 08:00:00+00:00,9533.304877166242
1639731600000,2021-12-17 09:00:00+00:00,9533.304877166242
1639735200000,2021-12-17 10:00:00+00:00,9533.304877166242
1639738800000,2021-12-17 11:00:00+00:00,9533.304877166242
1639742400000,2021-12-17 12:00:00+00:00,9533.304877166242
1639746000000,2021-12-17 13:00:00+00:00,9533.304877166242
