side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2024-09-01T06:00:00+00:00,58264.354798,LIMIT,2024-09-02T11:00:00+00:00,58648.49250453116,TRAIL,0.06279495622013241,0.5680000000000001,-29.62806331007642,9639.292334874199,9609.664271564123,29
SHORT,2024-09-06T17:00:00+00:00,54413.355152,LIMIT,2024-09-08T21:00:00+00:00,54620.892175599685,TRAIL,0.024359570083241914,0.4959999999999999,-7.0475332131816995,9609.664271564123,9602.616738350942,52
LONG,2024-09-23T00:00:00+00:00,63341.855838,LIMIT,2024-09-24T00:00:00+00:00,62936.90586539995,TRAIL,0.07134730042295331,1.0,-35.64932391258076,9602.616738350942,9566.96741443836,24
LONG,2024-09-24T21:00:00+00:00,64012.799999999996,LIMIT,2024-09-25T13:00:00+00:00,63278.68552635833,TRAIL,0.07183955310343702,0.9279999999999999,-59.59687828874699,9566.96741443836,9507.370536149614,16
LONG,2024-09-27T16:00:00+00:00,65999.1972,LIMIT,2024-09-30T00:00:00+00:00,65402.14335524571,TRAIL,0.059222509023155526,0.802,-41.19546451578622,9507.370536149614,9466.175071633828,56
SHORT,2024-10-01T21:00:00+00:00,61079.7816,LIMIT,2024-10-02T16:00:00+00:00,62269.41455044166,TRAIL,0.052022789793883494,1.0,-66.70075188963794,9466.175071633828,9399.474319744191,19
LONG,2024-10-04T17:00:00+00:00,62016.880896,LIMIT,2024-10-07T00:00:00+00:00,62768.66148357733,TRAIL,0.06625328847519475,1.0,43.607346736206196,9399.474319744191,9443.081666480397,55
LONG,2024-10-15T14:00:00+00:00,66513.3,LIMIT,2024-10-21T08:00:00+00:00,68428.294610481,TRAIL,0.03485481849544947,0.73,63.219265977352855,9443.081666480397,9506.30093245775,138
LONG,2024-10-24T01:00:00+00:00,67316.290566,LIMIT,2024-10-25T17:00:00+00:00,67183.11573697772,TRAIL,0.045784082431815906,0.6579999999999999,-10.715736278703199,9506.30093245775,9495.585196179047,40
LONG,2024-10-29T19:00:00+00:00,73004.598,LIMIT,2024-10-31T13:00:00+00:00,71473.10357509535,TRAIL,0.03613480575623921,0.604,-59.25575882258589,9495.585196179047,9436.32943735646,42
LONG,2024-11-07T19:00:00+00:00,76481.773296,LIMIT,2024-11-10T04:00:00+00:00,77600.69051091233,TRAIL,0.025190127004798637,0.514,25.274649127115943,9436.32943735646,9461.604086483576,57
LONG,2024-11-10T11:00:00+00:00,79556.65815,FALLBACK_MKT,2024-11-10T21:00:00+00:00,78846.1670720288,TRAIL,0.030948930744885375,0.4959999999999999,-25.66573771768294,9461.604086483576,9435.938348765892,10
LONG,2024-11-11T22:00:00+00:00,87403.9773,LIMIT,2024-11-12T10:00:00+00:00,85939.38813452677,TRAIL,0.015917438552156223,0.532,-25.38189482136987,9435.938348765892,9410.556453944522,12
LONG,2024-11-13T16:00:00+00:00,91845.455418,LIMIT,2024-11-13T21:00:00+00:00,88884.71960475376,TRAIL,0.009048359086642284,0.3879999999999999,-28.016284439982034,9410.556453944522,9382.54016950454,5
