side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2023-12-08T15:00:00+00:00,43808.749998,LIMIT,2023-12-09T23:00:00+00:00,43688.565113196855,TRAIL,0.07568295556243348,0.604,-14.062488854377253,9888.834181983757,9874.77169312938,32
LONG,2023-12-13T23:00:00+00:00,42896.5776,LIMIT,2023-12-14T13:00:00+00:00,42399.432257601686,TRAIL,0.0665617480535541,0.73,-37.34895166530064,9874.77169312938,9837.422741464079,14
SHORT,2024-01-19T00:00:00+00:00,41361.726,LIMIT,2024-01-19T18:00:00+00:00,41390.71851753762,TRAIL,0.09327564765305163,1.0,-8.493386743348804,9837.422741464079,9828.92935472073,18
SHORT,2024-01-22T05:00:00+00:00,41050.008356,LIMIT,2024-01-23T23:00:00+00:00,39820.13367647041,TRAIL,0.15398018085299509,1.0,180.03702625865998,9828.92935472073,10008.966380979391,42
LONG,2024-01-28T11:00:00+00:00,42608.550006,FALLBACK_MKT,2024-01-28T18:00:00+00:00,41948.47532059611,TRAIL,0.14441621146540898,0.9279999999999999,-104.48403928808993,10008.966380979391,9904.4823416913,7
LONG,2024-02-09T14:00:00+00:00,46815.601248,LIMIT,2024-02-12T10:00:00+00:00,47740.23759477854,TRAIL,0.05038169834649504,0.604,43.01183669149415,9904.4823416913,9947.494178382794,68
LONG,2024-02-12T22:00:00+00:00,49826.273261999995,FALLBACK_MKT,2024-02-13T13:00:00+00:00,49247.2094100114,TRAIL,0.05009823121127409,0.6399999999999999,-32.73262942437221,9947.494178382794,9914.761548958422,15
LONG,2024-02-14T15:00:00+00:00,51839.295786,LIMIT,2024-02-15T21:00:00+00:00,51405.83348809244,TRAIL,0.040682613874746594,0.5680000000000001,-20.784590591563486,9914.761548958422,9893.976958366859,30
LONG,2024-02-28T15:00:00+00:00,60812.159999999996,LIMIT,2024-02-28T17:00:00+00:00,60146.31587888485,TRAIL,0.020265491305017643,0.42399999999999993,-15.33212045284986,9893.976958366859,9878.64483791401,2
