side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2023-03-13T01:00:00+00:00,22453.459794000002,2023-03-13T14:00:00+00:00,22402.494638192577,TRAIL,0.09318175063448585,1.0,-7.883839709774574,8963.770362361673,8955.886522651897,13
LONG,2023-03-14T13:00:00+00:00,25837.736514,2023-03-14T19:00:00+00:00,24654.218064514393,TRAIL,0.06756626524999457,0.892,-82.52458608323879,8955.886522651897,8873.361936568659,6
LONG,2023-03-17T02:00:00+00:00,25668.912755999998,2023-03-18T16:00:00+00:00,26622.314554483426,TRAIL,0.09475757737927339,0.982,86.62580217973412,8873.361936568659,8959.987738748394,38
LONG,2023-03-19T17:00:00+00:00,27924.443772,2023-03-20T02:00:00+00:00,27396.85679316536,TRAIL,0.08131828415397246,0.766,-46.2764427901551,8959.987738748394,8913.71129595824,9
LONG,2023-03-23T16:00:00+00:00,28586.576172,2023-03-24T17:00:00+00:00,27617.91829234777,TRAIL,0.08137085008524908,0.874,-82.25057072895859,8913.71129595824,8831.46072522928,24
LONG,2023-04-10T23:00:00+00:00,29599.9188,2023-04-12T15:00:00+00:00,29653.281517948773,TRAIL,0.1126525704780273,0.784,1.005178350973552,8831.46072522928,8832.465903580254,40
LONG,2023-04-14T01:00:00+00:00,30751.869144,2023-04-14T15:00:00+00:00,30374.9232350276,TRAIL,0.10977306388877514,0.6759999999999999,-46.41106381209391,8832.465903580254,8786.05483976816,14
LONG,2023-04-18T12:00:00+00:00,30386.666118,2023-04-19T08:00:00+00:00,29871.481024845765,TRAIL,0.14948046958188047,0.856,-83.76567174456498,8786.05483976816,8702.289168023595,20
SHORT,2023-04-21T20:00:00+00:00,27274.444020000003,2023-04-22T16:00:00+00:00,27698.920637569703,TRAIL,0.11832988467058939,1.0,-55.10701312729789,8702.289168023595,8647.182154896298,20
SHORT,2023-04-24T09:00:00+00:00,27180.302852,2023-04-25T18:00:00+00:00,27761.65684930687,TRAIL,0.1516077008789998,1.0,-94.38496107258703,8647.182154896298,8552.797193823711,33
LONG,2023-04-26T11:00:00+00:00,29004.609762,2023-04-26T12:00:00+00:00,29145.164899911648,TRAIL,0.1241398581984921,0.892,12.03446630381847,8552.797193823711,8564.83166012753,1
LONG,2023-04-26T13:00:00+00:00,29971.44309,2023-04-26T19:00:00+00:00,29145.164899911648,TRAIL,0.09380298197985293,0.892,-81.66634376069405,8564.83166012753,8483.165316366834,6
SHORT,2023-05-11T18:00:00+00:00,26901.888546000002,2023-05-12T22:00:00+00:00,26858.0465738309,TRAIL,0.1257333436714587,1.0,0.44283545533952884,8483.165316366834,8483.608151822174,28
SHORT,2023-05-16T02:00:00+00:00,27019.235072,2023-05-17T17:00:00+00:00,27044.027258673115,TRAIL,0.1713348284649527,1.0,-11.194954884170594,8483.608151822174,8472.413196938003,39
LONG,2023-05-28T22:00:00+00:00,27840.597006,2023-05-29T15:00:00+00:00,27651.737086431105,TRAIL,0.19456651073058684,1.0,-44.84352792987438,8472.413196938003,8427.56966900813,17
SHORT,2023-05-31T05:00:00+00:00,27252.248460000003,2023-06-02T12:00:00+00:00,27239.11884312998,TRAIL,0.18222768501498596,1.0,-5.054797100355377,8427.56966900813,8422.514871907773,55
