side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2024-12-16T00:00:00+00:00,104484.882798,2024-12-16T12:00:00+00:00,103359.07207498203,TRAIL,0.022114257045512755,0.45999999999999996,-28.34370369597685,8690.696702055284,8662.352998359307,12
LONG,2024-12-16T17:00:00+00:00,106846.304988,2024-12-17T15:00:00+00:00,106147.59482006391,TRAIL,0.014073274043533765,0.4059999999999999,-12.08128081156803,8662.352998359307,8650.27171754774,22
SHORT,2024-12-22T20:00:00+00:00,94817.58269000001,2024-12-24T13:00:00+00:00,95746.81752575266,TRAIL,0.03700499346274206,1.0,-39.675204810540464,8650.27171754774,8610.596512737198,41
SHORT,2024-12-26T09:00:00+00:00,95859.384288,2024-12-27T09:00:00+00:00,97236.07591807185,TRAIL,0.03770658747361223,1.0,-57.371071519257036,8610.596512737198,8553.22544121794,24
LONG,2025-01-06T05:00:00+00:00,99485.983218,2025-01-06T14:00:00+00:00,98828.4949417385,TRAIL,0.033670484959399366,0.532,-27.145957607425274,8553.22544121794,8526.079483610516,9
LONG,2025-01-06T15:00:00+00:00,100757.177406,2025-01-07T14:00:00+00:00,100368.91625726737,TRAIL,0.024015022048003418,0.532,-12.946635727511506,8526.079483610516,8513.132847883004,23
SHORT,2025-01-08T12:00:00+00:00,95115.893016,2025-01-09T15:00:00+00:00,94487.70691536224,TRAIL,0.03764566323697507,1.0,18.295167441106926,8513.132847883004,8531.42801532411,27
SHORT,2025-01-13T07:00:00+00:00,93618.652524,2025-01-13T15:00:00+00:00,92840.39393384742,TRAIL,0.04923139742320517,1.0,31.430028385336836,8531.42801532411,8562.858043709448,8
LONG,2025-01-15T14:00:00+00:00,98983.782798,2025-01-16T14:00:00+00:00,98306.31996900604,TRAIL,0.025148444988336346,0.6399999999999999,-20.758291158731705,8562.858043709448,8542.099752550715,24
LONG,2025-01-17T02:00:00+00:00,101680.13196,2025-01-18T03:00:00+00:00,103297.5048961866,TRAIL,0.018867087073958125,0.55,27.614617826011,8542.099752550715,8569.714370376727,25
LONG,2025-01-20T07:00:00+00:00,107503.856472,2025-01-20T17:00:00+00:00,103350.23002218643,TRAIL,0.008800984845754076,0.532,-37.947796154658036,8569.714370376727,8531.766574222069,10
SHORT,2025-02-02T13:00:00+00:00,98158.3644,2025-02-03T15:00:00+00:00,97488.84946953003,TRAIL,0.04156031190516844,1.0,21.72687991165311,8531.766574222069,8553.493454133722,26
SHORT,2025-02-04T22:00:00+00:00,96495.16710600001,2025-02-07T13:00:00+00:00,98446.77529006133,TRAIL,0.02316269722866355,1.0,-48.591045368059866,8553.493454133722,8504.902408765663,63
SHORT,2025-02-18T17:00:00+00:00,94621.052004,2025-02-18T23:00:00+00:00,95692.78927945883,TRAIL,0.048370648394249885,0.946,-58.74482984819128,8504.902408765663,8446.157578917473,6
SHORT,2025-02-21T21:00:00+00:00,95047.226752,2025-02-23T23:00:00+00:00,96277.37684677956,TRAIL,0.03766667935099002,1.0,-51.740591045434456,8446.157578917473,8394.416987872039,50
