side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2021-06-20T11:00:00+00:00,34079.98264,2021-06-20T19:00:00+00:00,35334.780734902226,TRAIL,0.03136132384899442,0.478,-40.9848335749061,9490.592028234032,9449.607194659126,8
SHORT,2021-06-21T07:00:00+00:00,32769.88471200001,2021-06-22T15:00:00+00:00,31858.871568032682,TRAIL,0.02374922028064455,0.514,20.48468990762359,9449.607194659126,9470.09188456675,32
SHORT,2021-06-25T13:00:00+00:00,33087.261224,2021-06-27T00:00:00+00:00,32437.911027955437,TRAIL,0.03446870679024863,0.586,20.688335549350676,9470.09188456675,9490.7802201161,35
SHORT,2021-07-05T02:00:00+00:00,34551.13839,2021-07-05T11:00:00+00:00,34473.64928041463,TRAIL,0.06162287392940759,0.622,1.58497228941757,9490.7802201161,9492.365192405518,9
SHORT,2021-07-05T12:00:00+00:00,33373.284008,2021-07-06T04:00:00+00:00,34473.64928041463,TRAIL,0.05432713714584883,0.622,-62.54414230226266,9492.365192405518,9429.821050103255,16
SHORT,2021-07-08T08:00:00+00:00,32481.062488000003,2021-07-09T13:00:00+00:00,33505.46148408104,TRAIL,0.03573791910425261,0.45999999999999996,-38.378554244185445,9429.821050103255,9391.44249585907,29
SHORT,2021-07-10T18:00:00+00:00,33390.590546,2021-07-11T21:00:00+00:00,34232.83479529338,TRAIL,0.04666186306319871,0.45999999999999996,-41.66726208614906,9391.44249585907,9349.775233772922,27
SHORT,2021-07-12T20:00:00+00:00,32816.285429999996,2021-07-14T10:00:00+00:00,32694.072810706868,TRAIL,0.057769360145409385,0.55,4.221776209411895,9349.775233772922,9353.997009982333,38
SHORT,2021-07-15T11:00:00+00:00,31860.386648,2021-07-16T13:00:00+00:00,31962.62830069691,TRAIL,0.04520576107731145,0.45999999999999996,-6.785787697719323,9353.997009982333,9347.211222284614,26
SHORT,2021-07-19T13:00:00+00:00,30707.007370000003,2021-07-21T04:00:00+00:00,30345.00291907171,TRAIL,0.058474484223016,0.532,18.49053494514421,9347.211222284614,9365.701757229757,39
LONG,2021-07-26T00:00:00+00:00,35388.096203999994,2021-07-26T00:00:00+00:00,35530.15031853135,TRAIL,0.09990302198921157,1.0,8.877924971351312,9365.701757229757,9374.579682201109,0
LONG,2021-07-26T01:00:00+00:00,36766.081746,2021-07-26T20:00:00+00:00,37796.50317208456,TRAIL,0.07620294656680193,1.0,74.2597323674126,9374.579682201109,9448.839414568522,19
LONG,2021-07-28T02:00:00+00:00,39886.735752,2021-07-30T08:00:00+00:00,38744.12768586134,TRAIL,0.04640295906554678,1.0,-55.7569238740425,9448.839414568522,9393.08249069448,54
LONG,2021-07-30T21:00:00+00:00,40676.693712,2021-08-01T16:00:00+00:00,41003.548593237334,TRAIL,0.05778260415593286,0.946,15.346753387608146,9393.08249069448,9408.429244082088,43
LONG,2021-08-05T18:00:00+00:00,40715.1414,2021-08-09T00:00:00+00:00,43234.57584226155,TRAIL,0.05424969250395566,1.0,133.2628590169239,9408.429244082088,9541.692103099012,78
LONG,2021-08-13T07:00:00+00:00,45842.51667,2021-08-14T10:00:00+00:00,46592.97538357276,TRAIL,0.04011507196085225,0.6399999999999999,27.323662987020615,9541.692103099012,9569.015766086033,27
LONG,2021-08-16T01:00:00+00:00,47556.189335999996,2021-08-16T13:00:00+00:00,46537.16407063959,TRAIL,0.03823761261949762,0.604,-41.66352224455631,9569.015766086033,9527.352243841477,12
LONG,2021-08-19T19:00:00+00:00,46572.142566,2021-08-22T14:00:00+00:00,48291.97914646873,TRAIL,0.040917069733859425,0.6399999999999999,67.45950188136845,9527.352243841477,9594.811745722845,67
LONG,2021-08-23T02:00:00+00:00,49832.854578,2021-08-23T19:00:00+00:00,49228.008689489936,TRAIL,0.0359929833872192,0.478,-24.44433002140329,9594.811745722845,9570.367415701443,17
LONG,2021-08-25T16:00:00+00:00,48827.173482000006,2021-08-26T03:00:00+00:00,47866.942095455604,TRAIL,0.037140125844760945,0.586,-38.356538252094275,9570.367415701443,9532.01087744935,11
LONG,2021-08-29T01:00:00+00:00,49570.61214,2021-08-29T02:00:00+00:00,48508.636597509,TRAIL,0.055233662427339965,0.604,-62.71975570695993,9532.01087744935,9469.29112174239,1
LONG,2021-09-01T17:00:00+00:00,48483.324726,2021-09-03T00:00:00+00:00,48806.77038260327,TRAIL,0.04608087442710407,0.622,11.542249194151983,9469.29112174239,9480.833370936542,31
LONG,2021-09-03T13:00:00+00:00,50655.97917,2021-09-07T08:00:00+00:00,51658.54048108328,TRAIL,0.03357959217991159,0.5680000000000001,31.08884007855877,9480.833370936542,9511.9222110151,91
SHORT,2021-09-10T15:00:00+00:00,45136.800834,2021-09-12T08:00:00+00:00,46062.60526133388,TRAIL,0.05505293887667614,0.9279999999999999,-54.73385104678504,9511.9222110151,9457.188359968315,41
SHORT,2021-09-13T04:00:00+00:00,44605.757064000005,2021-09-13T13:00:00+00:00,45785.90546858509,TRAIL,0.06212776848141793,0.892,-77.5318610656333,9457.188359968315,9379.656498902681,9
SHORT,2021-09-13T15:00:00+00:00,43924.533336,2021-09-14T12:00:00+00:00,46221.1750200493,TRAIL,0.036718191911746204,0.892,-86.81102067201635,9379.656498902681,9292.845478230665,21
