window,test_start,test_end,bars,trades,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,6,1.9404762288743311,1.2872299875220081,-0.008404028217696258,0.5,10000.0,10113.204443509594
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,6,1.0425964654863193,0.1124484468909501,-0.011354354830777513,0.3333333333333333,10113.204443509594,10121.949803417921
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,6,0.41288583151832375,-1.7144524298428334,-0.013701987101214397,0.16666666666666666,10121.949803417921,10023.882017920321
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,7,0.6827028387490677,-0.8700746576649839,-0.024997975045183418,0.2857142857142857,10023.882017920321,9901.802687279178
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,6,1.7295072099005375,1.0602037687676789,-0.013294113696165732,0.3333333333333333,9901.802687279178,10016.075991685726
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,11,0.683238286658283,-0.9259140182713566,-0.015907999713177357,0.2727272727272727,10016.075991685726,9919.351963728326
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,4,0.10501864221667348,-1.993847524953047,-0.005755707165333912,0.5,9919.351963728326,9863.873961608091
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,6,0.8452818645781894,-0.3508570192754464,-0.010373739997893483,0.3333333333333333,9863.873961608091,9833.029262940867
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,7,0.32529661202652144,-2.481589827365291,-0.03082601494352799,0.14285714285714285,9833.029262940867,9626.446291673426
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,10,0.5152299330272011,-1.5236039714763725,-0.02162298526196471,0.2,9626.446291673426,9453.137206654395
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,11,0.518952833895691,-1.5581558231392136,-0.024364918642837963,0.18181818181818182,9453.137206654395,9269.514424924491
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,12,1.7125153648749678,1.4670543920871946,-0.008286850685984448,0.4166666666666667,9269.514424924491,9405.365426013832
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,6,0.021068135836832393,-3.586789347829379,-0.01599686794829902,0.16666666666666666,9405.365426013832,9256.417563076238
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,7,0.544941769044933,-1.2194691172779952,-0.009657873083359303,0.2857142857142857,9256.417563076238,9184.660419914693
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,11,2.1852523351342827,2.061933234612366,-0.013517709707097425,0.45454545454545453,9184.660419914693,9561.801450350205
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,7,1.4201370026815336,0.6801457579594676,-0.015770179644336135,0.5714285714285714,9561.801450350205,9626.412003097095
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,4,1.6402530718054118,0.8182771642253924,-0.013176687307617563,0.5,9626.412003097095,9709.418431533451
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,6,52.59045813779688,4.310942258681266,-0.001420785652962664,0.8333333333333334,9709.418431533451,10421.108925677898
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,9,1.5652236494323601,0.9708127321384755,-0.009792690556576722,0.3333333333333333,10421.108925677898,10536.80889753892
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,10,0.26117159602720974,-3.1775127425916243,-0.03938054105533795,0.1,10536.80889753892,10186.324648107218
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,5,2.1113528492383975,1.3740660098622262,-0.014790909871401192,0.4,10186.324648107218,10382.755554894931
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,13,0.36358185575722585,-3.012974678692444,-0.024879213825932722,0.23076923076923078,10382.755554894931,10133.689354891818
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,6,1.8739354696713204,0.9132489550239757,-0.0100256848148913,0.16666666666666666,10133.689354891818,10222.47873016585
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,7,0.4253605909123261,-1.7885888348936971,-0.03115031794899703,0.14285714285714285,10222.47873016585,10034.80597973651
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,3,0.0,-3.375524293930032,-0.018035844156739977,0.0,10034.80597973651,9853.81978294286
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,13,0.6623185436792313,-1.1462356757661627,-0.04654321283127438,0.38461538461538464,9853.81978294286,9694.095326601286
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,2,0.2065771667430043,-1.9875594401987196,-0.008569580296048707,0.5,9694.095326601286,9628.065366178385
