window,train_start,train_end,test_start,test_end,bars_test,equity_start,equity_end,return_pct,trades,profit_factor,max_drawdown,sharpe_approx,win_rate,avg_pnl,median_pnl,avg_hold_bars,long_trades,short_trades,avg_size_mult
0,2019-01-01T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,10000.0,9956.345372406911,-0.004365462759308825,12,0.8818111919309608,-0.01812723931634419,-0.2831654304209397,0.4166666666666667,-3.637885632757564,-9.43119786894042,27.833333333333332,5,7,0.7194999999999999
1,2019-04-01T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,9956.345372406911,9856.890918991347,-0.009989052176835211,19,0.8393661329337909,-0.03689786072541412,-0.5842340362972577,0.42105263157894735,-5.234444916608477,-10.275154261380806,34.0,6,13,0.788736842105263
2,2019-06-30T00:00:00+00:00,2019-12-27T00:00:00+00:00,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,9856.890918991347,11123.75824068767,0.12852605675644035,17,5.471235172918166,-0.008634583571421106,3.6076492258794923,0.5882352941176471,74.5216071586074,29.439111498588048,45.588235294117645,11,6,0.7956470588235294
3,2019-09-28T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,11123.75824068767,11209.972587978651,0.007750469349075972,18,1.0983360803614317,-0.03804811350826531,0.29382344320201115,0.3888888888888889,4.7896859606099405,-25.695634822601487,25.555555555555557,12,6,0.864
4,2019-12-27T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,11209.972587978651,10690.409866078355,-0.046348259803727365,16,0.365094524487099,-0.046348259803727365,-3.313853162731427,0.25,-32.47267011876844,-59.25210664025678,26.0625,10,6,0.8402499999999999
5,2020-03-26T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,10690.409866078355,10281.692621218186,-0.03823213983189422,18,0.406681987316651,-0.04301485814481876,-2.8137006515374394,0.16666666666666666,-22.706513603342838,-21.72626025086659,17.27777777777778,17,1,0.6069999999999999
6,2020-06-24T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,10281.692621218186,10113.855768982723,-0.016323854293124884,15,0.3771545731054204,-0.01887478400382947,-2.821026366463369,0.4,-11.18912348236423,-9.254617951827031,22.6,13,2,0.4492
7,2020-09-22T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,10113.855768982723,10189.18303163465,0.007447927316003522,13,1.1892087637570987,-0.030526419696553675,0.4882696613304811,0.46153846153846156,5.79440481937892,-16.74315339644851,42.15384615384615,3,10,0.7355384615384614
8,2020-12-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,10189.18303163465,10026.943082159823,-0.015922763284466956,18,0.6803153310729065,-0.03392068318444952,-1.3067436781846142,0.4444444444444444,-9.01333052637925,-16.839966968702992,27.055555555555557,9,9,0.717
9,2021-03-21T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,10026.943082159823,9961.835660737617,-0.006493247332584051,19,0.8740691163942922,-0.021287494039359922,-0.37423795961867384,0.3157894736842105,-3.4267063906423485,-14.538462538452954,31.789473684210527,11,8,0.740421052631579
10,2021-06-19T00:00:00+00:00,2021-12-16T00:00:00+00:00,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,9961.835660737617,9672.666846610928,-0.029027663572727347,23,0.5564246469776273,-0.029027663572727347,-2.062742624505192,0.391304347826087,-12.572557135943029,-22.563456905806174,26.82608695652174,5,18,0.6501739130434782
11,2021-09-17T00:00:00+00:00,2022-03-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9672.666846610928,9510.026112525142,-0.016814466647610327,26,0.7570278607790679,-0.01876614059959103,-1.134359892484346,0.34615384615384615,-6.255412849453378,-22.465062952371994,30.346153846153847,4,22,0.579076923076923
12,2021-12-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,9510.026112525142,9297.168791381438,-0.02238241184883394,16,0.47686504648631967,-0.02238241184883394,-2.3996624977786194,0.3125,-13.303582571481403,-18.259909298254108,24.9375,4,12,0.596125
13,2022-03-16T00:00:00+00:00,2022-09-12T00:00:00+00:00,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,9297.168791381438,8858.549331190992,-0.04717774518593776,17,0.1273002658915247,-0.04739125151854551,-5.590264851662768,0.17647058823529413,-25.801144717085137,-29.10422980364377,33.94117647058823,4,13,0.6505882352941176
14,2022-06-14T00:00:00+00:00,2022-12-11T00:00:00+00:00,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,8858.549331190992,8759.32603334778,-0.011200851757278918,24,0.892789324601587,-0.0478637235220033,-0.3870990046504349,0.375,-4.134304076800714,-23.451537038623954,19.375,18,6,0.91
15,2022-09-12T00:00:00+00:00,2023-03-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,8759.32603334778,8411.139296631043,-0.03975040264412444,19,0.5014829305807726,-0.05312981549618845,-2.520239515758014,0.3157894736842105,-18.325617721933558,-44.78296158651985,24.36842105263158,13,6,0.9081052631578949
16,2022-12-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,8411.139296631043,8695.283963644988,0.03378194760461928,12,1.6891166774628468,-0.026164466298964628,1.1490104887017725,0.4166666666666667,23.678722251162096,-4.489490782568331,28.916666666666668,5,7,0.9249999999999999
17,2023-03-11T00:00:00+00:00,2023-09-07T00:00:00+00:00,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,8695.283963644988,8848.242401939757,0.017590965278913018,14,1.478445819861605,-0.021931755766462557,1.002831928252717,0.5,10.925602735340519,-10.724347766843177,32.285714285714285,11,3,0.874
18,2023-06-09T00:00:00+00:00,2023-12-06T00:00:00+00:00,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,8848.242401939757,9028.155568515607,0.020333209512479966,17,1.364941725856506,-0.01879022303520239,0.9352757308944806,0.35294117647058826,10.58312744563815,-23.51746690984914,28.823529411764707,14,3,0.7437647058823529
19,2023-09-07T00:00:00+00:00,2024-03-05T00:00:00+00:00,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,9028.155568515607,8755.739232432657,-0.030174085284148444,20,0.5890091241733534,-0.05401584177116858,-1.9222604833611352,0.2,-13.620816804147504,-35.86338513240443,25.1,12,8,0.7309
20,2023-12-06T00:00:00+00:00,2024-06-03T00:00:00+00:00,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,8755.739232432657,9199.694540525532,0.05070449179760783,17,2.3103289713596538,-0.02388245921944887,2.2574220014362965,0.47058823529411764,26.11501812311025,-5.140545830387018,33.470588235294116,6,11,0.8517647058823529
21,2024-03-05T00:00:00+00:00,2024-09-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,9199.694540525532,8690.696702055284,-0.055327689004027736,25,0.46221547217915177,-0.06555418470997709,-2.999069343355416,0.28,-20.359913538809884,-36.4596891783695,27.48,19,6,0.7393599999999999
22,2024-06-03T00:00:00+00:00,2024-11-30T00:00:00+00:00,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,8690.696702055284,8394.416987872039,-0.03409159522425598,15,0.25058200004542924,-0.03409159522425598,-4.2507019175957215,0.26666666666666666,-19.75198094554978,-27.145957607425274,24.666666666666668,7,8,0.7731999999999999
23,2024-09-01T00:00:00+00:00,2025-02-28T00:00:00+00:00,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,8394.416987872039,8390.899451490091,-0.00041903283897248844,17,0.9935973979275154,-0.039967818354133766,0.027291938782327822,0.29411764705882354,-0.20691390482064645,-23.675494051413736,31.058823529411764,9,8,0.748
24,2024-11-30T00:00:00+00:00,2025-05-29T00:00:00+00:00,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,8390.899451490091,7927.199970605778,-0.05526219013409439,19,0.3780624996523544,-0.058838512872282034,-3.6206666106922785,0.3157894736842105,-24.40523583601652,-43.43686970835989,22.05263157894737,13,6,0.7991578947368421
25,2025-02-28T00:00:00+00:00,2025-08-27T00:00:00+00:00,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,7927.199970605778,7972.334685063607,0.005693651557320267,19,1.1113938449399385,-0.02556506474288689,0.31429178720847667,0.5263157894736842,2.3755112872542736,0.07732988192747958,32.526315789473685,7,12,0.7451578947368421
26,2025-05-29T00:00:00+00:00,2025-11-25T00:00:00+00:00,2025-11-25T00:00:00+00:00,2026-01-19T17:00:00+00:00,1337,7972.334685063607,7956.429668307427,-0.0019950262231186455,8,0.9076505178452059,-0.021467769192592634,-0.2614262758857962,0.375,-1.9881270945224507,-11.660426546137858,24.875,3,5,0.69175
