side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2022-09-12T02:00:00+00:00,21864.372,LIMIT,2022-09-13T12:00:00+00:00,21904.145938444737,TRAIL,0.12722146883117674,1.0,0.8838775146208571,9303.818330849617,9304.702208364239,34
SHORT,2022-09-19T10:00:00+00:00,18666.266,LIMIT,2022-09-19T14:00:00+00:00,19284.096070656607,TRAIL,0.07288357843638014,0.478,-47.10413505805446,9304.702208364239,9257.598073306184,4
SHORT,2022-09-22T02:00:00+00:00,18662.2668,LIMIT,2022-09-22T19:00:00+00:00,19494.41096672162,TRAIL,0.04967634966608139,0.4959999999999999,-42.75949794877989,9257.598073306184,9214.838575357404,17
SHORT,2022-10-10T11:00:00+00:00,19349.1294,LIMIT,2022-10-13T10:00:00+00:00,18993.28380885023,TRAIL,0.1634782347461123,0.4959999999999999,53.47189656288507,9214.838575357404,9268.31047192029,71
SHORT,2022-10-13T12:00:00+00:00,18946.21,LIMIT,2022-10-13T15:00:00+00:00,18891.02435361728,TRAIL,0.09019740482855489,0.45999999999999996,2.4179868290681465,9268.31047192029,9270.728458749358,3
LONG,2022-10-28T17:00:00+00:00,20642.02758,LIMIT,2022-10-30T16:00:00+00:00,20560.53375086914,TRAIL,0.18034898028360105,1.0,-20.27045892397786,9270.728458749358,9250.45799982538,47
SHORT,2022-11-09T16:00:00+00:00,17163.396634,LIMIT,2022-11-10T13:00:00+00:00,17206.279107126866,TRAIL,0.04315893602163022,0.622,-2.96328089142825,9250.45799982538,9247.494718933951,21
