side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2021-12-26T04:00:00+00:00,49790.04,2021-12-26T21:00:00+00:00,50784.1731126447,TRAIL,0.06926474557309742,0.766,-74.08306257497266,9747.77383403969,9673.690771464717,17
SHORT,2022-01-08T19:00:00+00:00,40792.8398,2022-01-08T22:00:00+00:00,42141.83991235568,TRAIL,0.020328779057531474,0.2799999999999999,-28.687995817723458,9673.690771464717,9645.002775646994,3
SHORT,2022-01-24T16:00:00+00:00,34394.6197,2022-01-24T20:00:00+00:00,36568.684989085654,TRAIL,0.014914910982372784,0.33399999999999996,-33.21979878591857,9645.002775646994,9611.782976861075,4
LONG,2022-02-07T00:00:00+00:00,42176.4336,2022-02-08T09:00:00+00:00,43560.790104708554,TRAIL,0.08364772914672187,1.0,110.41948489868152,9611.782976861075,9722.202461759756,33
SHORT,2022-02-20T12:00:00+00:00,38573.38378,2022-02-21T01:00:00+00:00,39087.5560263657,TRAIL,0.05619644448329151,0.586,-32.16785361700119,9722.202461759756,9690.034608142754,13
SHORT,2022-02-21T14:00:00+00:00,38040.880302,2022-02-23T08:00:00+00:00,38441.88471506125,TRAIL,0.036033814780919264,0.55,-16.51669308799839,9690.034608142754,9673.517915054756,42
SHORT,2022-02-24T01:00:00+00:00,37029.382642000004,2022-02-24T18:00:00+00:00,36457.11130285212,TRAIL,0.036294907427237275,0.514,18.770146156473032,9673.517915054756,9692.28806121123,17
LONG,2022-03-02T15:00:00+00:00,44758.95,2022-03-03T15:00:00+00:00,42782.45586890925,TRAIL,0.04769490967823496,0.964,-97.40016864645209,9692.28806121123,9594.887892564777,24
SHORT,2022-03-04T23:00:00+00:00,39053.717694,2022-03-06T16:00:00+00:00,39284.51317843564,TRAIL,0.04105437224187898,0.694,-11.887258898021086,9594.887892564777,9583.000633666756,41
SHORT,2022-03-07T05:00:00+00:00,37997.399,2022-03-07T13:00:00+00:00,39114.360261994,TRAIL,0.039478730909493574,0.514,-46.37941889398598,9583.000633666756,9536.62121477277,8
SHORT,2022-03-07T20:00:00+00:00,37570.514394,2022-03-08T10:00:00+00:00,39152.040395112665,TRAIL,0.03129792517108378,0.514,-51.299425022990626,9536.62121477277,9485.321789749778,14
