window,test_start,test_end,bars,trades,gross_profit,gross_loss,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end,window_return_pct
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,1,144.6714438419393,0.0,inf,2.0185189136223527,0.0,1.0,10000.0,10144.671443841939,0.014467144384193942
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,0,0.0,0.0,,,0.0,,10144.671443841939,10144.671443841939,0.0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,1,0.0,101.09093227514437,0.0,-2.018049654307951,-0.009964929158598812,0.0,10144.671443841939,10043.580511566794,-0.009964929158598812
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,1,0.0,16.050680246102946,0.0,-2.0157082570068248,-0.001598103408203655,0.0,10043.580511566794,10027.529831320691,-0.001598103408203655
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,1,0.0,7.920778201263769,0.0,-2.016175884494152,-0.0007899032298586128,0.0,10027.529831320691,10019.609053119428,-0.0007899032298586128
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,4,199.5777042023004,175.05661814553184,1.1400751729156744,0.26151063880490644,-0.010622055266609753,0.5,10019.609053119428,10044.130139176195,0.0024473096631583147
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,1,0.0,24.355016728544978,0.0,-2.0180496543079505,-0.0024248009923278913,0.0,10044.130139176195,10019.77512244765,-0.0024248009923278913
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,0,0.0,0.0,,,0.0,,10019.77512244765,10019.77512244765,0.0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,0,0.0,0.0,,,0.0,,10019.77512244765,10019.77512244765,0.0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,0,0.0,0.0,,,0.0,,10019.77512244765,10019.77512244765,0.0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,1,193.81239557702284,0.0,inf,2.014773977347362,0.0,1.0,10019.77512244765,10213.587518024673,0.019342988560972607
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,1,0.0,95.94136787646711,0.0,-2.014773977347361,-0.009393503282480564,0.0,10213.587518024673,10117.646150148206,-0.009393503282480564
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10117.646150148206,10117.646150148206,0.0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10117.646150148206,10117.646150148206,0.0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,2,283.4342801138916,0.0,inf,2.757740252519237,0.0,1.0,10117.646150148206,10401.080430262098,0.02801385578302118
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,4,0.0,341.6279151455493,0.0,-4.016680632535262,-0.032845425764767455,0.0,10401.080430262098,10059.452515116549,-0.032845425764767455
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,1,162.7059080579392,0.0,inf,2.0147739773473616,0.0,1.0,10059.452515116549,10222.158423174487,0.016174429752855435
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,4,454.15149541240714,65.38764019354137,6.94552508804662,2.8403793800917243,-0.00639665689834179,0.75,10222.158423174487,10610.922278393353,0.03803148406871726
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,3,85.21708605267912,108.28480348857475,0.7869717938923024,-0.3908399201515062,-0.010205032196783925,0.3333333333333333,10610.922278393353,10587.854560957456,-0.002173959702152284
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10587.854560957456,10587.854560957456,0.0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10587.854560957456,10587.854560957456,0.0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,2,0.0,163.81537955745353,0.0,-2.6465330413754025,-0.015472008858293251,0.0,10587.854560957456,10424.039181400001,-0.015472008858293251
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,1,0.0,15.828639452671803,0.0,-2.0147739773473625,-0.0015184746696764728,0.0,10424.039181400001,10408.21054194733,-0.0015184746696764728
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10408.21054194733,10408.21054194733,0.0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10408.21054194733,10408.21054194733,0.0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,1,194.22606959678384,0.0,inf,2.0147739773473616,0.0,1.0,10408.21054194733,10602.436611544113,0.018660851335972728
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,1,0.0,109.59274528310972,0.0,-2.56064176087654,-0.010336562178903552,0.0,10602.436611544113,10492.843866261004,-0.010336562178903552
