side,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
LONG,2024-03-10T05:00:00+00:00,69417.70076400001,2024-03-10T22:00:00+00:00,68622.60004585465,TRAIL,0.04202915654163083,0.478,-37.76870060813784,9977.194950864254,9939.426250256116,17
LONG,2024-03-11T08:00:00+00:00,71034.193998,2024-03-12T16:00:00+00:00,70621.80592301849,TRAIL,0.02173397542524909,0.42399999999999993,-11.271893303155888,9939.426250256116,9928.15435695296,32
LONG,2024-03-20T19:00:00+00:00,65428.012986,2024-03-21T18:00:00+00:00,64859.72029210222,TRAIL,0.016398750088495447,0.5680000000000001,-10.921706847565705,9928.15435695296,9917.232650105394,23
LONG,2024-04-04T18:00:00+00:00,68862.94983599999,2024-04-05T05:00:00+00:00,67145.79731139494,TRAIL,0.03755747643908076,0.6399999999999999,-68.32302447253485,9917.232650105394,9848.90962563286,11
SHORT,2024-04-13T21:00:00+00:00,61803.646798,2024-04-13T23:00:00+00:00,64957.223447055156,TRAIL,0.03148402331855396,1.0,-102.28048740170638,9848.90962563286,9746.629138231154,2
SHORT,2024-04-15T19:00:00+00:00,63158.225828,2024-04-16T21:00:00+00:00,64341.2951272567,TRAIL,0.03747232139011913,1.0,-47.91563027827123,9746.629138231154,9698.713507952883,26
SHORT,2024-04-17T15:00:00+00:00,61267.39407,2024-04-18T11:00:00+00:00,62740.256996250326,TRAIL,0.0435256046516581,1.0,-68.15538042962362,9698.713507952883,9630.55812752326,20
LONG,2024-05-06T09:00:00+00:00,65156.068608,2024-05-06T10:00:00+00:00,63937.7054305001,TRAIL,0.047854506075350176,0.622,-62.93745717516343,9630.55812752326,9567.620670348097,1
SHORT,2024-05-06T15:00:00+00:00,63259.315606000004,2024-05-09T15:00:00+00:00,62066.587980004166,TRAIL,0.0580835241378559,1.0,63.81829624488961,9567.620670348097,9631.438966592987,72
LONG,2024-05-17T15:00:00+00:00,66820.031334,2024-05-19T16:00:00+00:00,66612.81583227916,TRAIL,0.039147179659791316,0.5680000000000001,-12.029542204561471,9631.438966592987,9619.409424388425,49
LONG,2024-05-20T16:00:00+00:00,67433.484,2024-05-21T15:00:00+00:00,69831.60095502471,TRAIL,0.053096927721277824,0.6399999999999999,121.8663769072341,9619.409424388425,9741.275801295658,23
LONG,2024-05-22T16:00:00+00:00,70469.981178,2024-05-22T21:00:00+00:00,68977.39925697478,TRAIL,0.035381888784259255,0.532,-56.510801310465396,9741.275801295658,9684.764999985193,5
