window,test_start,test_end,bars_test,equity_start,equity_end,return_pct,trades,profit_factor,max_drawdown,sharpe_approx,win_rate,entry_limit_fills,entry_fallback_market
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,10000.0,10121.171340764015,0.01211713407640147,5,1.8303301922286992,-0.008664193807139786,0.9952293304194951,0.4,4,1
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,10121.171340764015,9965.869089958072,-0.015344296186395656,6,0.4273162070182321,-0.019674234842073757,-1.7681815350853796,0.3333333333333333,4,2
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,9965.869089958072,9905.539236375665,-0.00605364700638078,7,0.6298715529218194,-0.013701987101214397,-1.0194451075475175,0.2857142857142857,6,1
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,9905.539236375665,10193.43589337535,0.029064208432233007,7,1.8128157397751805,-0.021583700527687544,1.0081835769753487,0.2857142857142857,7,0
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,10193.43589337535,10312.074962310253,0.011638771281428761,7,1.7673844769652864,-0.013294113696165955,1.3287916313500274,0.5714285714285714,5,2
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,10312.074962310253,10217.21745977847,-0.009198682406642567,9,0.6632564316133468,-0.013499191544756761,-0.9590899659229959,0.2222222222222222,9,0
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,10217.21745977847,10158.901804581972,-0.005707586769692075,5,0.10312614076652214,-0.005870369260016606,-2.0345600708159126,0.4,4,1
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,10158.901804581972,10173.058583390206,0.0013935343682374146,5,1.0906779407687504,-0.010373739997893483,0.18647084713794942,0.4,5,0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,10173.058583390206,9873.152475598752,-0.029480426691056105,8,0.10894611070252931,-0.03296607235941118,-4.163497778583948,0.125,7,1
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,9873.152475598752,9641.713547827869,-0.023441239091858357,12,0.5373657831861602,-0.03482328765728271,-1.457409351077537,0.16666666666666666,11,1
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,9641.713547827869,9382.117103124923,-0.026924305873143095,11,0.32986691454970746,-0.026924305873143095,-2.7904906903461106,0.18181818181818182,11,0
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9382.117103124923,9453.528934125286,0.007611483657198992,10,1.3953021386324325,-0.008517088046826604,0.7718429184235888,0.3,9,1
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,9453.528934125286,9303.818330849617,-0.01583647803046806,6,0.021068135836832386,-0.01599686794829891,-3.5867893478293547,0.16666666666666666,6,0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,9303.818330849617,9247.494718933951,-0.006053816821520286,7,0.5019900948168584,-0.009657873083359303,-1.31255838163448,0.42857142857142855,7,0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,9247.494718933951,9367.163200649225,0.012940638016289752,14,1.2855067889044967,-0.015333717982046746,0.705771903995434,0.35714285714285715,9,5
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,9367.163200649225,9275.625078665194,-0.009772235203256319,8,0.6138917328673882,-0.022768085997349807,-1.1079849330772154,0.5,6,2
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,9275.625078665194,9456.339485044336,0.019482720015797428,5,2.185363525123338,-0.014891739602223564,1.1053404850001451,0.4,3,2
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,9456.339485044336,9888.834181983757,0.04573595286246146,4,13.486611726210255,-0.0021393709910487724,2.6301729232144346,0.5,3,1
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,9888.834181983757,9878.64483791401,-0.0010303888084514101,9,0.9563135722918732,-0.013020479648432004,-0.07070439417584032,0.2222222222222222,7,2
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,9878.64483791401,9476.715160253696,-0.04068672214206104,10,0.09540345244699862,-0.04068672214206104,-4.633481200927247,0.1,10,0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,9476.715160253696,9639.292334874199,0.017155435387819606,5,1.7605557893651829,-0.01650356470466363,0.9524835123255644,0.4,4,1
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,9639.292334874199,9382.54016950454,-0.02663599737926292,14,0.3397199371197013,-0.02663599737926292,-3.305451930337545,0.21428571428571427,13,1
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,9382.54016950454,9365.484045018478,-0.0018178578698228032,6,0.8119430619544747,-0.009666529130569312,-0.47128665297185585,0.3333333333333333,6,0
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,9365.484045018478,9142.071492106026,-0.023854885859453834,7,0.24917881369108758,-0.031150317948996697,-2.7750778525841837,0.14285714285714285,7,0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,9142.071492106026,9072.058428171746,-0.007658336952925282,4,0.5649645441554202,-0.012819156850124247,-1.0433673431977133,0.25,3,1
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,9072.058428171746,8994.467089848518,-0.008552782032606898,15,0.8382309332818628,-0.046001444824954496,-0.39118910313542526,0.4,12,3
26,2025-11-25T00:00:00+00:00,2026-01-19T17:00:00+00:00,1337,8994.467089848518,8933.202548294232,-0.006811358687768387,2,0.2065771667430043,-0.008569580296048818,-1.9883029269940633,0.5,2,0
