window,test_start,test_end,bars,trades,final_equity,max_drawdown,sharpe_approx,profit_factor,win_rate,exit_time_stop,entry_limit_fills,entry_fallback_market
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,4,10174.24573519367,-0.005823859533264142,1.4473013701557038,2.848608554895453,0.5,0,4,0
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,5,10179.628072899299,-0.007178469483545391,0.08952025787528849,1.038104935927932,0.4,1,5,0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,8,9953.533327012607,-0.02357884522816689,-2.9290536288735645,0.23309841131301418,0.125,0,8,0
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,7,10242.824894266076,-0.021583700527687877,1.008183576975334,1.8128157397751805,0.2857142857142857,0,7,0
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,6,10254.681182678962,-0.013294113696165621,0.16345259581301633,1.0732445291863129,0.3333333333333333,0,6,0
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,9,10160.351627298123,-0.013499191544756761,-0.9590899659230131,0.6632564316133468,0.2222222222222222,0,9,0
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,5,10112.76900689082,-0.005597390992581719,-1.6461905616499077,0.2512094382957535,0.6,0,5,0
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,5,10126.861498059969,-0.010373739997893483,0.18647084713796136,1.0906779407687504,0.4,0,5,0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,7,9908.560142556966,-0.03082601494352799,-2.597878279393752,0.30732383131959273,0.14285714285714285,0,7,0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,11,9851.087270922142,-0.017387983299337106,-0.35942546115627677,0.8351311010791123,0.2727272727272727,0,11,0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,11,9585.853584056806,-0.026924305873143317,-2.7904906903461337,0.32986691454970757,0.18181818181818182,0,11,0
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9,9608.393294959536,-0.011973512290987753,0.2499123137350592,1.103856222918554,0.2222222222222222,1,9,0
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,6,9456.230185635814,-0.01599686794829891,-3.5867893478293436,0.021068135836832376,0.16666666666666666,0,6,0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,7,9398.983900269845,-0.009657873083359192,-1.312558381634499,0.5019900948168584,0.42857142857142855,0,7,0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,12,9648.607573694075,-0.01411320784050385,1.4370996577549215,1.7613773394988792,0.4166666666666667,0,12,0
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,9,9433.43245945802,-0.02523255972650773,-3.139095964232259,0.18954955994432873,0.3333333333333333,1,9,0
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,3,9633.964758443317,-0.01317668730761734,1.205391126407518,2.558879120676498,0.3333333333333333,0,3,0
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,3,10096.182797110561,-0.0014207856529625529,2.759707104263436,34.76861697839904,0.6666666666666666,0,3,0
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,8,10125.686528985081,-0.009792690556576611,0.2916410072936552,1.1488203219333235,0.25,0,8,0
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,10,9713.705534682655,-0.04068672214206104,-4.633481200927231,0.09540345244699863,0.1,0,10,0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,5,9964.117417350075,-0.014790909871401081,1.4369751272498685,2.7429105901283943,0.6,0,5,0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,13,9715.33701111131,-0.024967630931925222,-3.2728003786823106,0.30791853289947646,0.15384615384615385,3,13,0
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,6,9697.675909267684,-0.009666529130569312,-0.4712866529717923,0.8119430619544747,0.3333333333333333,0,6,0
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,7,9466.338957350124,-0.03115031794899714,-2.7750778525842055,0.24917881369108766,0.14285714285714285,0,7,0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,5,9173.687867194401,-0.030914917738973924,-4.334103915231247,0.0,0.0,0,5,0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,13,9119.870934515227,-0.046543212831274494,-0.2576310358178122,0.8795946892403836,0.38461538461538464,0,13,0
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,2,9057.752222394092,-0.008569580296048596,-1.9875594401987116,0.2065771667430043,0.5,0,2,0
